experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,1,DecisionTreeClassifier,resubstitution,338,22071,63,88,0.9933067375886525,0.8428927680798005,0.7934272300469484,0.8174123337363967,0.9971537001897534,0.002846299810246644,0.8952904651183509,0.889476755330133,0.8143926055284624,0.8140063906638912,0.8977451574299263,0.6760032594460739,22560,0.7789945676010956,0.09284735473541267,0.7655996999091229,0.10064265504587606,"{'classifier__ccp_alpha': np.float64(0.0009997491581800288), 'classifier__max_depth': 13, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 5, 'classifier__min_impurity_decrease': np.float64(0.014286681792194078), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 7, 'feature_selection_filter__k': 28}",59.77013325691223,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,2,DecisionTreeClassifier,resubstitution,292,22106,28,134,0.9928191489361702,0.9125,0.6854460093896714,0.7828418230563002,0.9987349778621126,0.0012650221378873727,0.842090493625892,0.8273928359693882,0.787523229730353,0.779265959297269,0.8397970576993481,0.6315598301158912,22560,0.7591544015167095,0.025537557732175243,0.7414958111939338,0.013180592178480947,"{'classifier__ccp_alpha': np.float64(0.0016897348062672635), 'classifier__max_depth': 7, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 3, 'classifier__min_impurity_decrease': np.float64(0.05897310102096279), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 4, 'feature_selection_filter__k': 20}",55.53532695770264,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,3,DecisionTreeClassifier,resubstitution,361,22001,133,65,0.9912234042553192,0.7307692307692307,0.8474178403755869,0.7847826086956522,0.9939911448450348,0.006008855154965187,0.9207044926103108,0.9177831058136975,0.7825581457218783,0.7803279501170239,0.9420388555240361,0.7460320307752657,22560,0.799981869897531,0.017873382657556246,0.787804809397406,0.044376549727813776,"{'classifier__ccp_alpha': np.float64(0.008566650547028029), 'classifier__max_depth': 7, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 6, 'classifier__min_impurity_decrease': np.float64(0.01776294901617378), 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 5, 'feature_selection_filter__k': 20}",57.4927282333374,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,4,DecisionTreeClassifier,resubstitution,332,22034,100,94,0.9914007092198581,0.7685185185185185,0.7793427230046949,0.7738927738927739,0.9954820637932592,0.004517936206740791,0.887412393398977,0.8808074149886409,0.7695295527808429,0.7695100002022286,0.8893245621738017,0.6061154741568786,22560,0.7141187544690051,0.10716850703451639,0.7122094646519933,0.08687946368679879,"{'classifier__ccp_alpha': np.float64(0.0025582476399119746), 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 3, 'classifier__min_impurity_decrease': np.float64(0.015531994360418556), 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 3, 'feature_selection_filter__k': 22}",58.38698387145996,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,5,DecisionTreeClassifier,resubstitution,285,22106,29,140,0.9925088652482269,0.9076433121019108,0.6705882352941176,0.7713125845737483,0.9986898576914389,0.0013101423085610797,0.8346390464927782,0.8183579102540866,0.7766941739386365,0.7675919570568377,0.8337215748282597,0.6150293435722477,22560,0.7700218554736905,0.009567184487181012,0.760378123661288,0.026800236712053047,"{'classifier__ccp_alpha': np.float64(0.004804912376392773), 'classifier__max_depth': 18, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 3, 'classifier__min_impurity_decrease': np.float64(0.008351630936716758), 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'feature_selection_filter__k': 20}",59.16137218475342,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,6,DecisionTreeClassifier,resubstitution,336,22078,57,89,0.9935283687943263,0.8549618320610687,0.7905882352941176,0.8215158924205379,0.9974248927038627,0.0025751072961373023,0.8940065639989901,0.888004721699818,0.8188756272136962,0.8182254665141283,0.9080746223043092,0.6899286527403496,22560,0.8129231235785352,0.007888898756408937,0.8116962722375931,0.01311654001432184,"{'classifier__ccp_alpha': np.float64(0.002880718057671249), 'classifier__max_depth': 7, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 7, 'classifier__min_impurity_decrease': np.float64(0.012711457105906356), 'classifier__min_samples_leaf': 7, 'classifier__min_samples_split': 8, 'feature_selection_filter__k': 22}",60.26367688179016,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,7,DecisionTreeClassifier,resubstitution,364,22011,124,61,0.9917996453900709,0.7459016393442623,0.8564705882352941,0.7973713033953997,0.9943980121978767,0.005601987802123287,0.9254343002165855,0.9228611219718396,0.7951809563075819,0.7932067813271709,0.949080800967326,0.7826421015002889,22560,0.8202035432245334,0.030674263825776427,0.8019243833667333,0.03867614277459551,"{'classifier__ccp_alpha': np.float64(0.0014266544519129043), 'classifier__max_depth': 19, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 7, 'classifier__min_impurity_decrease': np.float64(0.009164294417442653), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'feature_selection_filter__k': 20}",57.701277017593384,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,8,DecisionTreeClassifier,resubstitution,351,21866,269,75,0.9847524489162715,0.5661290322580645,0.823943661971831,0.6711281070745698,0.9878473006550712,0.012152699344928797,0.9058954813134511,0.9021809809404805,0.6758724147871927,0.6635980235595433,0.9132777843175307,0.48062187457375394,22561,0.6518304050395691,0.009338824632123018,0.6541021118711658,0.030445684580230885,"{'classifier__ccp_alpha': np.float64(0.008091255958175536), 'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 12, 'classifier__min_impurity_decrease': np.float64(0.011027103117865556), 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 8, 'feature_selection_filter__k': 'all'}",60.05640745162964,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,9,DecisionTreeClassifier,resubstitution,340,22099,36,86,0.9945924382784451,0.9042553191489362,0.7981220657276995,0.8478802992518704,0.9983736164445448,0.0016263835554551909,0.8982478410861221,0.8926499947486439,0.8468458225949953,0.8451384837148643,0.9021868580657956,0.7729521425912947,22561,0.8565852927458076,0.012091735142647475,0.8493938716962897,0.025528581777329643,"{'classifier__ccp_alpha': np.float64(0.00902429163057032), 'classifier__max_depth': 17, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 6, 'classifier__min_impurity_decrease': np.float64(0.014088709209599294), 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 9, 'feature_selection_filter__k': 28}",57.860761404037476,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,10,DecisionTreeClassifier,resubstitution,278,22103,32,148,0.9920216302468862,0.896774193548387,0.6525821596244131,0.7554347826086957,0.9985543257284843,0.0014456742715156512,0.8255682426764488,0.8072414374808778,0.7613090280192019,0.7514818145723312,0.8255704167024586,0.591920428117169,22561,0.7665569991015018,0.014884123457131596,0.7312882481064537,0.037582293926923804,"{'classifier__ccp_alpha': np.float64(0.005373265389340476), 'classifier__max_depth': 9, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 3, 'classifier__min_impurity_decrease': np.float64(0.004772578299642916), 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 2, 'feature_selection_filter__k': 20}",60.20653295516968,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
