experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,1,KNORAE,generalization,43,2412,48,4,0.9792580773833267,0.4725274725274725,0.9148936170212766,0.6231884057971014,0.9804878048780488,0.019512195121951237,0.9476907109496626,0.9471230301550743,0.649314947206255,0.613635555344801,0.9556175402179554,0.8624054722153968,9.041808605194092,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,2,KNORAE,generalization,39,2443,17,8,0.9900279218189071,0.6964285714285714,0.8297872340425532,0.7572815533980582,0.9930894308943089,0.0069105691056911,0.911438332468431,0.907773612757433,0.7552410027774682,0.7522306162707496,0.9408450095139249,0.7778650996196768,10.421539545059204,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,3,KNORAE,generalization,39,2400,60,8,0.9728759473474272,0.3939393939393939,0.8297872340425532,0.5342465753424658,0.975609756097561,0.024390243902439046,0.9026984950700571,0.899749143382268,0.5608938087264269,0.5220960091501363,0.9435478290953122,0.6528199580440929,7.284114122390747,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,4,KNORAE,generalization,34,2405,55,13,0.9728759473474272,0.38202247191011235,0.723404255319149,0.5,0.9776422764227642,0.022357723577235755,0.8505232658709566,0.8409700249973998,0.5138545140456589,0.487422801921909,0.9344663553018508,0.7120264703623513,9.685711145401001,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,5,KNORAE,generalization,38,2418,41,10,0.9796569605105704,0.4810126582278481,0.7916666666666666,0.5984251968503937,0.9833265555103701,0.01667344448962993,0.8874966110885183,0.8823076880803599,0.6079388540888278,0.5886263091005615,0.9695336857801274,0.7189552107573394,8.37471318244934,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,6,KNORAE,generalization,37,2366,93,11,0.9585161547666534,0.2846153846153846,0.7708333333333334,0.4157303370786517,0.9621797478649857,0.037820252135014276,0.8665065405991595,0.8612085823495915,0.45302830885817363,0.39892015510667034,0.9109351701233563,0.5597246928551467,10.213558912277222,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,7,KNORAE,generalization,45,2409,50,3,0.9788591942560829,0.47368421052631576,0.9375,0.6293706293706294,0.9796665311102074,0.020333468889792594,0.9585832655551036,0.9583513828005985,0.6582602447498785,0.619695976598613,0.9589009760065068,0.7849585115674994,6.436749696731567,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,8,KNORAE,generalization,34,2368,91,13,0.9584996009577015,0.272,0.723404255319149,0.3953488372093023,0.9629930866205775,0.037006913379422524,0.8431986709698632,0.8346456114449099,0.4277293799515125,0.37840403356213714,0.8850163965632111,0.5474767786011357,9.445215702056885,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,9,KNORAE,generalization,43,2411,48,4,0.9792498004788508,0.4725274725274725,0.9148936170212766,0.6231884057971014,0.9804798698657992,0.01952013013420084,0.9476867434435379,0.9471191976504708,0.6493115973542473,0.6136316466730314,0.9933288916961573,0.8289762991551887,16.68104314804077,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,10,KNORAE,generalization,39,2414,45,8,0.9788507581803672,0.4642857142857143,0.8297872340425532,0.5954198473282443,0.9816998779991867,0.018300122000813324,0.90574355602087,0.9025530601714544,0.6116220128644795,0.5854489840506882,0.9641871371341055,0.7765171574908456,10.867802858352661,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
