experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,1,KNORAE,resubstitution,282,17687,20,59,0.9956227836879432,0.9337748344370861,0.8269794721407625,0.8771384136858476,0.9988705031908285,0.0011294968091715152,0.9129249876657954,0.9088703986079254,0.8765912539177787,0.8749184570441008,0.9620745775938637,0.8518828570496637,22560,0.8754017607968325,0.007399137356229538,0.8745077872946725,0.022220357511295488,"{'classifier__estimator__ccp_alpha': np.float64(0.006011150117432088), 'classifier__estimator__max_depth': 5, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 3, 'classifier__estimator__min_impurity_decrease': np.float64(0.07219987722668247), 'classifier__estimator__min_samples_leaf': 6, 'classifier__estimator__min_samples_split': 3, 'classifier__max_features': np.float64(0.5909124836035503), 'classifier__max_samples': np.float64(0.5917022549267169), 'classifier__n_estimators': 559, 'feature_selection_filter__k': 22}",59.09750819206238,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,2,KNORAE,resubstitution,284,17689,18,57,0.995844414893617,0.9403973509933775,0.8328445747800587,0.8833592534992224,0.9989834528717456,0.0010165471282543859,0.9159140138259021,0.9121392158104397,0.8829366054173144,0.8812516997254121,0.9633264641599234,0.8576298370005849,22560,0.8814210589376511,0.00807847570494342,0.8840865231040675,0.02737134200654141,"{'classifier__estimator__ccp_alpha': np.float64(0.002506104364614935), 'classifier__estimator__max_depth': 4, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 4, 'classifier__estimator__min_impurity_decrease': np.float64(0.04681150470441947), 'classifier__estimator__min_samples_leaf': 4, 'classifier__estimator__min_samples_split': 7, 'classifier__max_features': np.float64(0.7778892674335427), 'classifier__max_samples': np.float64(0.8248608388192558), 'classifier__n_estimators': 816, 'feature_selection_filter__k': 20}",53.13826298713684,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,3,KNORAE,resubstitution,288,17687,20,53,0.9959552304964538,0.935064935064935,0.844574780058651,0.8875192604006163,0.9988705031908285,0.0011294968091715152,0.9217226416247397,0.9184883426257886,0.886654517286942,0.8854652695239612,0.9646596678716288,0.8641268179974905,22560,0.882904337474454,0.011114842619899383,0.884577325792735,0.020692678261740496,"{'classifier__estimator__ccp_alpha': np.float64(0.005730924075959516), 'classifier__estimator__max_depth': 19, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 7, 'classifier__estimator__min_impurity_decrease': np.float64(0.048460396027833176), 'classifier__estimator__min_samples_leaf': 1, 'classifier__estimator__min_samples_split': 3, 'classifier__max_features': np.float64(0.8476909775877608), 'classifier__max_samples': np.float64(0.7897777487742776), 'classifier__n_estimators': 415, 'feature_selection_filter__k': 'all'}",51.5562789440155,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,4,KNORAE,resubstitution,281,17693,14,60,0.9958998226950354,0.9525423728813559,0.8240469208211144,0.8836477987421384,0.99920935223358,0.0007906477664200162,0.9116281365273472,0.9074113675526343,0.883970653346724,0.8815720518441498,0.9623624171032978,0.8603948149169331,22560,0.8800868424561141,0.008066407396111827,0.8786604703559805,0.023652844093094916,"{'classifier__estimator__ccp_alpha': np.float64(0.005604792255910517), 'classifier__estimator__max_depth': 3, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 13, 'classifier__estimator__min_impurity_decrease': np.float64(0.0866887727766858), 'classifier__estimator__min_samples_leaf': 3, 'classifier__estimator__min_samples_split': 8, 'classifier__max_features': np.float64(0.7843764994668734), 'classifier__max_samples': np.float64(0.7027206675177587), 'classifier__n_estimators': 588, 'feature_selection_filter__k': 20}",54.98267197608948,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,5,KNORAE,resubstitution,285,17688,20,55,0.995844414893617,0.9344262295081968,0.8382352941176471,0.8837209302325582,0.9988705669753783,0.001129433024621651,0.9185529305465128,0.9150347334905201,0.8829602488239934,0.8816116765032064,0.9622659748335747,0.8515507681347301,22560,0.8829396893895012,0.007258441587141442,0.884789487275996,0.020814853911839164,"{'classifier__estimator__ccp_alpha': np.float64(0.0010402838071011744), 'classifier__estimator__max_depth': 13, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 10, 'classifier__estimator__min_impurity_decrease': np.float64(0.05558463313047882), 'classifier__estimator__min_samples_leaf': 7, 'classifier__estimator__min_samples_split': 8, 'classifier__max_features': np.float64(0.5003098535093646), 'classifier__max_samples': np.float64(0.9353564691427717), 'classifier__n_estimators': 492, 'feature_selection_filter__k': 24}",53.78727412223816,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,6,KNORAE,resubstitution,290,17691,17,50,0.9962876773049646,0.9446254071661238,0.8529411764705882,0.8964451313755796,0.9990399819290716,0.0009600180709283812,0.92599057919983,0.923104727280571,0.8957688788042695,0.8945600985534381,0.9657724491422953,0.8734854421658452,22560,0.9013988693519458,0.009599277346351185,0.9032229920732062,0.029571779861408572,"{'classifier__estimator__ccp_alpha': np.float64(0.002394400071444558), 'classifier__estimator__max_depth': 17, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 4, 'classifier__estimator__min_impurity_decrease': np.float64(0.07688393047246894), 'classifier__estimator__min_samples_leaf': 2, 'classifier__estimator__min_samples_split': 9, 'classifier__max_features': np.float64(0.7799734685206438), 'classifier__max_samples': np.float64(0.5269256087355281), 'classifier__n_estimators': 602, 'feature_selection_filter__k': 26}",49.347280502319336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,7,KNORAE,resubstitution,282,17687,21,58,0.9956227836879432,0.9306930693069307,0.8294117647058824,0.8771384136858476,0.9988140953241473,0.001185904675852667,0.9141129300150148,0.9101802906105528,0.8764228372807443,0.8749176230811179,0.9619900111614558,0.8516239159979536,22560,0.8838112111529439,0.00822640279992767,0.8833537541317635,0.03167733631001127,"{'classifier__estimator__ccp_alpha': np.float64(0.00435806278185489), 'classifier__estimator__max_depth': 13, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 7, 'classifier__estimator__min_impurity_decrease': np.float64(0.07974367087453416), 'classifier__estimator__min_samples_leaf': 2, 'classifier__estimator__min_samples_split': 9, 'classifier__max_features': np.float64(0.7523374047572655), 'classifier__max_samples': np.float64(0.5164365244226226), 'classifier__n_estimators': 366, 'feature_selection_filter__k': 28}",50.05785155296326,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,8,KNORAE,resubstitution,291,17692,15,50,0.9963984929078015,0.9509803921568627,0.8533724340175953,0.8995363214837713,0.9991528773931214,0.0008471226068785809,0.9262626557053584,0.9233902332906992,0.8990730183769551,0.8977081648262996,0.9745760536408303,0.8719261291836404,22561,0.8964757843626032,0.00897168885753823,0.8930529403449251,0.013324933699314832,"{'classifier__estimator__ccp_alpha': np.float64(0.0030096445585591457), 'classifier__estimator__max_depth': 11, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 14, 'classifier__estimator__min_impurity_decrease': np.float64(0.0683276759974987), 'classifier__estimator__min_samples_leaf': 2, 'classifier__estimator__min_samples_split': 4, 'classifier__max_features': np.float64(0.6052119179933829), 'classifier__max_samples': np.float64(0.8848772340927178), 'classifier__n_estimators': 583, 'feature_selection_filter__k': 24}",53.32296919822693,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,9,KNORAE,resubstitution,291,17689,18,50,0.9962322695035462,0.941747572815534,0.8533724340175953,0.8953846153846153,0.9989834528717456,0.0010165471282543859,0.9261779434446704,0.9233119411772293,0.8945957725626139,0.8934709389258868,0.997074901371908,0.9162237296944965,22561,0.9016861169342141,0.007282122222233703,0.8928069814552373,0.03327912138381069,"{'classifier__estimator__ccp_alpha': np.float64(0.004235003963518133), 'classifier__estimator__max_depth': 9, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 17, 'classifier__estimator__min_impurity_decrease': np.float64(0.00139053656832), 'classifier__estimator__min_samples_leaf': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__max_features': np.float64(0.691496548136757), 'classifier__max_samples': np.float64(0.5574094748332538), 'classifier__n_estimators': 981, 'feature_selection_filter__k': 'all'}",59.19128155708313,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,10,KNORAE,resubstitution,283,17687,20,58,0.9956781914893617,0.933993399339934,0.8299120234604106,0.8788819875776398,0.9988705031908285,0.0011294968091715152,0.9143912633256195,0.9104804448630508,0.8782758745733157,0.8766896286403978,0.9596840025657132,0.8648042359838332,22561,0.882817575851185,0.0032750475334137213,0.8841924078018518,0.016605045863206287,"{'classifier__estimator__ccp_alpha': np.float64(0.004162563874873824), 'classifier__estimator__max_depth': 19, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 3, 'classifier__estimator__min_impurity_decrease': np.float64(0.08603773147207142), 'classifier__estimator__min_samples_leaf': 6, 'classifier__estimator__min_samples_split': 7, 'classifier__max_features': np.float64(0.7028798842241408), 'classifier__max_samples': np.float64(0.9540958663163741), 'classifier__n_estimators': 645, 'feature_selection_filter__k': 20}",53.91035723686218,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
