experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,1,METADES,generalization,45,2331,129,2,0.947746310331073,0.25862068965517243,0.9574468085106383,0.4072398190045249,0.947560975609756,0.05243902439024395,0.9525038920601971,0.9524910666073397,0.4829885148547378,0.38920867189519637,0.9736723750216225,0.8486746636180487,9.664373397827148,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,2,METADES,generalization,39,2368,92,8,0.9601116872756282,0.29770992366412213,0.8297872340425532,0.43820224719101125,0.9626016260162602,0.0373983739837398,0.8961944300294067,0.8937306869168681,0.48294311371073106,0.42225970889448106,0.9502291991005015,0.4750086244897999,3.0752899646759033,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,3,METADES,generalization,41,2321,139,6,0.9421619465496609,0.22777777777777777,0.8723404255319149,0.36123348017621143,0.9434959349593496,0.05650406504065042,0.9079181802456322,0.9072208360647759,0.4286324982936628,0.3416598903596544,0.9230799169693824,0.4845411005275746,6.805299758911133,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,4,METADES,generalization,39,2411,49,8,0.9772636617471081,0.4431818181818182,0.8297872340425532,0.5777777777777777,0.9800813008130081,0.01991869918699185,0.9049342674277807,0.9018087112788684,0.5968589880793344,0.5671996195933646,0.913012454592631,0.5013484619778017,1.9165253639221191,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,5,METADES,generalization,41,2406,53,7,0.976067012365377,0.43617021276595747,0.8541666666666666,0.5774647887323944,0.9784465229768199,0.021553477023180112,0.9163065948217433,0.9141971368598243,0.6006210953724397,0.5664754877943338,0.9463450589670597,0.7485209994525144,6.472832441329956,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,6,METADES,generalization,34,2381,78,14,0.963302752293578,0.30357142857142855,0.7083333333333334,0.425,0.9682797885319235,0.031720211468076465,0.8383065609326285,0.8281695781723164,0.44882653912386083,0.4091626362816624,0.9697158397722652,0.5955414616826994,11.358827114105225,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,7,METADES,generalization,39,2440,19,9,0.988831272437176,0.6724137931034483,0.8125,0.7358490566037735,0.9922732818218788,0.007726718178121206,0.9023866409109393,0.8978986810772563,0.7336096631407201,0.730195945790125,0.957672495594415,0.7223140918752634,8.807472944259644,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,8,METADES,generalization,37,2403,56,10,0.9736632083000798,0.3978494623655914,0.7872340425531915,0.5285714285714286,0.9772265148434323,0.02277348515656774,0.8822302786983118,0.8771008948635052,0.5486092689108042,0.5165245046740993,0.9269855416057383,0.624515964368553,13.27688455581665,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,9,METADES,generalization,45,2168,291,2,0.8830806065442937,0.13392857142857142,0.9574468085106383,0.2349869451697128,0.8816592110614071,0.1183407889385929,0.9195530097860227,0.9187718965144458,0.33407619022478496,0.20895612434201594,0.9699280973929897,0.48735777308486566,19.414909601211548,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,10,METADES,generalization,37,2396,63,10,0.9708699122106943,0.37,0.7872340425531915,0.5034013605442177,0.9743798291988613,0.025620170801138653,0.8808069358760264,0.8758224545662825,0.5278557142908998,0.4903978472458229,0.9458870151332923,0.50778018502866,17.271204948425293,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin']"
