experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,1,MLPClassifier,generalization,43,2459,1,4,0.9980055843637814,0.9772727272727273,0.9148936170212766,0.945054945054945,0.9995934959349594,0.00040650406504061376,0.957243556478118,0.9563062841197257,0.9445730015142016,0.9440404283909447,0.9942224528628265,0.9531078781088734,0.004614353179931641,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,2,MLPClassifier,generalization,39,2458,2,8,0.9960111687275628,0.9512195121951219,0.8297872340425532,0.8863636363636364,0.9991869918699187,0.0008130081300813385,0.914487112956236,0.9105562092891569,0.8864802123579129,0.884343196685766,0.9796402006573257,0.8723558101766123,0.015820741653442383,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,3,MLPClassifier,generalization,39,2457,3,8,0.9956122856003191,0.9285714285714286,0.8297872340425532,0.8764044943820225,0.998780487804878,0.0012195121951219523,0.9142838609237156,0.9103709674584761,0.8756113575917841,0.8741781681304893,0.9480193738107595,0.869705034781825,0.0063097476959228516,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,4,MLPClassifier,generalization,38,2456,4,9,0.9948145193458316,0.9047619047619048,0.8085106382978723,0.8539325842696629,0.9983739837398374,0.001626016260162566,0.9034423110188549,0.8984408644165098,0.8526971552151141,0.851301471426942,0.9352620653866113,0.8138490831552593,0.005781650543212891,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,5,MLPClassifier,generalization,42,2456,3,6,0.9964100518548066,0.9333333333333333,0.875,0.9032258064516129,0.9987799918666125,0.001220008133387518,0.9368899959333062,0.9348435659955552,0.9018861086348775,0.9013988489321814,0.9978310966517555,0.9569785142317798,0.004652738571166992,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,6,MLPClassifier,generalization,36,2452,7,12,0.9924212205823694,0.8372093023255814,0.75,0.7912087912087912,0.9971533143554291,0.002846685644570912,0.8735766571777146,0.8647918742486956,0.7885968370263386,0.7873612220937551,0.9225549003660024,0.8045265668908084,0.004064321517944336,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,7,MLPClassifier,generalization,42,2456,3,6,0.9964100518548066,0.9333333333333333,0.875,0.9032258064516129,0.9987799918666125,0.001220008133387518,0.9368899959333062,0.9348435659955552,0.9018861086348775,0.9013988489321814,0.9878253355022367,0.9152866468497975,0.005278348922729492,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,8,MLPClassifier,generalization,35,2459,0,12,0.9952114924181963,1.0,0.7446808510638298,0.8536585365853658,1.0,0.0,0.8723404255319149,0.8629489272626913,0.8608509932175588,0.8512774354358512,0.9486904380780979,0.8356832234818433,0.005350589752197266,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,9,MLPClassifier,generalization,44,2456,3,3,0.9976057462090981,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9987799918666125,0.001220008133387518,0.967475102316285,0.9669684987072474,0.9349502046325698,0.93495020463257,0.9794156074515674,0.9357196209920865,0.005736827850341797,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,10,MLPClassifier,generalization,39,2455,4,8,0.9952114924181963,0.9069767441860465,0.8297872340425532,0.8666666666666667,0.9983733224888166,0.0016266775111833942,0.9140802782656849,0.9101853865064353,0.8651198995284812,0.8642335370974004,0.9766294895866681,0.8696644819680786,0.005795955657958984,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
