experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,1,RUSBoostClassifier,generalization,43,2449,11,4,0.9940167530913442,0.7962962962962963,0.9148936170212766,0.8514851485148515,0.9955284552845528,0.0044715447154471955,0.9552110361529147,0.9543598007580205,0.8505769446205318,0.8484469896949596,0.9927131984085797,0.9427886335629362,0.011218547821044922,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,2,RUSBoostClassifier,generalization,39,2445,15,8,0.9908256880733946,0.7222222222222222,0.8297872340425532,0.7722772277227723,0.9939024390243902,0.0060975609756097615,0.9118448365334717,0.9081451182416806,0.769545759867535,0.7676187175322713,0.9579052067116415,0.8391825672110164,0.018460750579833984,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,3,RUSBoostClassifier,generalization,39,2445,15,8,0.9908256880733946,0.7222222222222222,0.8297872340425532,0.7722772277227723,0.9939024390243902,0.0060975609756097615,0.9118448365334717,0.9081451182416806,0.769545759867535,0.7676187175322713,0.966554229372081,0.8645100893741358,0.015451431274414062,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,4,RUSBoostClassifier,generalization,38,2446,14,9,0.9908256880733946,0.7307692307692307,0.8085106382978723,0.7676767676767676,0.9943089430894309,0.005691056910569148,0.9014097906936516,0.8966099253535612,0.7640240317960766,0.7630093915044902,0.9530877010897769,0.8117821277320061,0.014772653579711914,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,5,RUSBoostClassifier,generalization,40,2442,17,8,0.9900279218189071,0.7017543859649122,0.8333333333333334,0.7619047619047619,0.9930866205774705,0.006913379422529453,0.913209976955402,0.909709944880542,0.7597666175679268,0.7568502849516805,0.9847456621933035,0.8694253107846796,0.009896993637084961,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,6,RUSBoostClassifier,generalization,36,2447,12,12,0.9904268049461508,0.75,0.75,0.75,0.9951199674664498,0.004880032533550183,0.872559983733225,0.8639097033833092,0.7451199674664498,0.7451199674664497,0.9678095770638471,0.7682752686190231,0.024003028869628906,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,7,RUSBoostClassifier,generalization,41,2438,21,7,0.988831272437176,0.6612903225806451,0.8541666666666666,0.7454545454545455,0.9914599430662872,0.008540056933712847,0.9228133048664768,0.9202565048411522,0.7461793863773653,0.739839447331164,0.969381184763454,0.8963296895825152,0.012006044387817383,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,8,RUSBoostClassifier,generalization,37,2436,23,10,0.9868316041500399,0.6166666666666667,0.7872340425531915,0.6915887850467289,0.9906466043106954,0.0093533956893046,0.8889403234319435,0.8831028994704415,0.6902991020778588,0.684962400286474,0.9116402619989098,0.783349668574826,0.0055084228515625,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,9,RUSBoostClassifier,generalization,44,2449,10,3,0.9948124501197126,0.8148148148148148,0.9361702127659575,0.8712871287128713,0.9959333062220415,0.004066693777958541,0.9660517594939995,0.965589506564043,0.8708337016446045,0.8686529855259444,0.9743798291988613,0.9371926020520494,0.0326390266418457,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,10,RUSBoostClassifier,generalization,40,2440,19,7,0.9896249002394254,0.6779661016949152,0.851063829787234,0.7547169811320755,0.9922732818218788,0.007726718178121206,0.9216685558045564,0.9189602273346087,0.7545472054814863,0.7494867161367219,0.9799477386586832,0.8752468925610649,0.014081001281738281,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
