experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,1,RUSBoostClassifier,resubstitution,352,21978,156,74,0.9898049645390071,0.6929133858267716,0.8262910798122066,0.7537473233404711,0.9929520195174845,0.007047980482515537,0.9096215496648455,0.9057965535421371,0.751608523005521,0.7485830176084919,0.9703322719364893,0.8585075094570995,22560,0.7714735535363805,0.029040482105248722,0.7714085879571488,0.05051050762667226,"{'classifier__learning_rate': np.float64(0.0662373185864509), 'classifier__n_estimators': 542, 'feature_selection_filter__k': 20}",59.49615669250488,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,2,RUSBoostClassifier,resubstitution,357,21950,184,69,0.9887854609929078,0.6598890942698706,0.8380281690140845,0.7383660806618407,0.991686997379597,0.00831300262040302,0.9148575831968407,0.9116258216226101,0.7381869320631147,0.7327187956049539,0.9775117073938465,0.8730530741368275,22560,0.7865398672057828,0.03285300744715909,0.7888762526858099,0.032013733441930675,"{'classifier__learning_rate': np.float64(0.04648743719179825), 'classifier__n_estimators': 290, 'feature_selection_filter__k': 'all'}",61.42983102798462,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,3,RUSBoostClassifier,resubstitution,355,22004,130,71,0.9910904255319148,0.7319587628865979,0.8333333333333334,0.7793633369923162,0.994126682931237,0.00587331706876304,0.9137300081322852,0.9101861910854819,0.7765341225853578,0.7748362128294737,0.9759118701243938,0.8711047094886744,22560,0.8162011153829967,0.01984187484828169,0.8173604205417453,0.055855702652742256,"{'classifier__learning_rate': np.float64(0.07545594591997185), 'classifier__n_estimators': 782, 'feature_selection_filter__k': 20}",59.60982346534729,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,4,RUSBoostClassifier,resubstitution,363,22005,129,63,0.9914893617021276,0.7378048780487805,0.852112676056338,0.7908496732026143,0.9941718622933045,0.005828137706695546,0.9231422691748212,0.9204055877919586,0.788655106506814,0.7865288945347707,0.9775993617195478,0.8818770811907256,22560,0.7975391838749024,0.026706073195917692,0.79066573157786,0.032488807985440946,"{'classifier__learning_rate': np.float64(0.1315571491786383), 'classifier__n_estimators': 202, 'feature_selection_filter__k': 20}",59.30952024459839,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,5,RUSBoostClassifier,resubstitution,356,21929,206,69,0.9878102836879432,0.6334519572953736,0.8376470588235294,0.7213779128672746,0.9906934718771176,0.009306528122882352,0.9141702653503235,0.9109618394386994,0.7225757518483351,0.7152694338708212,0.9736973385242962,0.8514692089269319,22560,0.7810468874254664,0.03719710914869435,0.7867179183366553,0.046856045242382176,"{'classifier__learning_rate': np.float64(0.142023838235933), 'classifier__n_estimators': 149, 'feature_selection_filter__k': 28}",61.17648673057556,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,6,RUSBoostClassifier,resubstitution,359,22013,122,66,0.9916666666666667,0.7463617463617463,0.8447058823529412,0.7924944812362031,0.9944883668398464,0.005511633160153573,0.9195971245963939,0.9165425104168317,0.789831571083559,0.7882590108789043,0.974991801644986,0.8814604154174772,22560,0.8057650693323604,0.034630351147092585,0.8058286618407147,0.03591229307852887,"{'classifier__learning_rate': np.float64(0.03489507734653086), 'classifier__n_estimators': 228, 'feature_selection_filter__k': 24}",61.01858639717102,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,7,RUSBoostClassifier,resubstitution,356,21994,141,69,0.9906914893617021,0.716297786720322,0.8376470588235294,0.7722342733188721,0.9936299977411339,0.006370002258866081,0.9156385282823316,0.912310936669451,0.7699624493140008,0.7675125025333854,0.975333129592474,0.8678597209117886,22560,0.7625198254922513,0.022915931318693007,0.7696600218550571,0.02266890003283853,"{'classifier__learning_rate': np.float64(0.10958322459032781), 'classifier__n_estimators': 254, 'feature_selection_filter__k': 24}",62.23425817489624,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,8,RUSBoostClassifier,resubstitution,365,21985,150,61,0.9906475776782944,0.7087378640776699,0.8568075117370892,0.7757704569606801,0.9932234018522702,0.006776598147729795,0.9250154567946798,0.9224973016437993,0.7746593496432329,0.7710382715775643,0.9669374124424281,0.858000339653052,22561,0.7861366844006933,0.01896678250105424,0.7864316029987671,0.050283076026223415,"{'classifier__learning_rate': np.float64(0.2633407736053293), 'classifier__n_estimators': 273, 'feature_selection_filter__k': 20}",62.67781066894531,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,9,RUSBoostClassifier,resubstitution,356,21980,155,70,0.9900270378086078,0.6966731898238747,0.8356807511737089,0.759871931696905,0.9929975152473458,0.007002484752654192,0.9143391332105273,0.9109494549400249,0.7580812664549692,0.754822492059011,0.9760542700522085,0.8661618654831624,22561,0.7830544598718956,0.02592083803381426,0.7721127271731241,0.06274300948313451,"{'classifier__learning_rate': np.float64(0.030465263348460073), 'classifier__n_estimators': 159, 'feature_selection_filter__k': 22}",59.78484606742859,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_ClusterCentroids___RandomizedSearchCV__niter_30__cv_5,1,10,RUSBoostClassifier,resubstitution,361,22012,123,65,0.9916670360356368,0.7458677685950413,0.8474178403755869,0.7934065934065934,0.9944431895188616,0.00555681048113843,0.9209305149472242,0.9179917755831389,0.7908466136996996,0.7891719821840406,0.9758218613692546,0.8712712454523145,22561,0.8024752320375408,0.026777254823553937,0.8025088616078804,0.06374727669485089,"{'classifier__learning_rate': np.float64(0.10887472568991635), 'classifier__n_estimators': 559, 'feature_selection_filter__k': 24}",62.796712160110474,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
