experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,1,DESP,generalization,44,2437,23,3,0.9896290386916633,0.6567164179104478,0.9361702127659575,0.7719298245614035,0.990650406504065,0.009349593495935005,0.9634103096350113,0.9630251304268196,0.7794349129877807,0.7667906976744187,0.9751254108285763,0.9272834352782623,6.237153053283691,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,2,DESP,generalization,40,2435,25,7,0.987235739928201,0.6153846153846154,0.851063829787234,0.7142857142857143,0.9898373983739838,0.010162601626016232,0.9204506140806089,0.9178315788459203,0.7176818467033088,0.7079301280791046,0.9231491091506661,0.7791191118798128,5.9851438999176025,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,3,DESP,generalization,39,2439,21,8,0.9884323893099322,0.65,0.8297872340425532,0.7289719626168224,0.9914634146341463,0.008536585365853666,0.9106253243383498,0.9070301453003937,0.7287852901976998,0.7231511486658873,0.9582338695727383,0.8501902375310247,9.895461797714233,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,4,DESP,generalization,39,2444,16,8,0.9904268049461508,0.7090909090909091,0.8297872340425532,0.7647058823529411,0.9934959349593496,0.006504065040650375,0.9116415845009513,0.9079593845004517,0.7622968791041881,0.7598505651701897,0.9243513233004671,0.8059638429350329,9.039008378982544,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,5,DESP,generalization,40,2407,52,8,0.976067012365377,0.43478260869565216,0.8333333333333334,0.5714285714285714,0.9788531923546157,0.021146807645384347,0.9060932628439745,0.9031672013690745,0.5919747489742475,0.5603656897015327,0.9634378812525416,0.7432328697047459,12.662976741790771,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,6,DESP,generalization,35,2401,58,13,0.9716792979656961,0.3763440860215054,0.7291666666666666,0.49645390070921985,0.9764131760878406,0.023586823912159383,0.8527899213772536,0.8437819273351284,0.5116063675215409,0.4834063251866879,0.8703868442456283,0.6914003156487827,3.476969003677368,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,7,DESP,generalization,42,2418,41,6,0.9812524930195453,0.5060240963855421,0.875,0.6412213740458015,0.9833265555103701,0.01667344448962993,0.929163277755185,0.9275832771625272,0.6574263068769712,0.6323003036364601,0.961878981970991,0.865208834465901,6.225895404815674,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,8,DESP,generalization,37,2426,33,10,0.9828411811652035,0.5285714285714286,0.7872340425531915,0.6324786324786325,0.9865799105327369,0.013420089467263141,0.8869069765429642,0.8812884268333793,0.6370552334523595,0.6240414204073658,0.9270677407352927,0.7627584114161491,12.180108308792114,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,9,DESP,generalization,44,2419,40,3,0.9828411811652035,0.5238095238095238,0.9361702127659575,0.6717557251908397,0.983733224888166,0.016266775111834053,0.9599517188270617,0.9596570962841341,0.6933359554698996,0.6636661568713131,0.9733631557543717,0.8699169930360552,8.49888563156128,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,10,DESP,generalization,40,2424,35,7,0.9832402234636871,0.5333333333333333,0.851063829787234,0.6557377049180327,0.9857665717771452,0.014233428222854783,0.9184152007821896,0.9159422874029179,0.6662581455882738,0.647611841356359,0.9706981734488159,0.8222160436063117,4.953111886978149,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,2,1,DESP,generalization,39,2444,16,8,0.9904268049461508,0.7090909090909091,0.8297872340425532,0.7647058823529411,0.9934959349593496,0.006504065040650375,0.9116415845009513,0.9079593845004517,0.7622968791041881,0.7598505651701897,0.9217393184570144,0.8098007039337879,5.529045820236206,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,2,2,DESP,generalization,41,2444,16,6,0.9912245712006382,0.7192982456140351,0.8723404255319149,0.7884615384615384,0.9934959349593496,0.006504065040650375,0.9329181802456323,0.9309493362512627,0.7878287628117512,0.7840231820495751,0.9367367237502162,0.8908645590431172,13.047216892242432,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,2,3,DESP,generalization,36,2453,7,11,0.992820103709613,0.8372093023255814,0.7659574468085106,0.8,0.9971544715447155,0.0028455284552845184,0.8815559591766131,0.8739438729678697,0.7971685186491843,0.7963517880029605,0.9099723231274865,0.785702827602394,5.254139184951782,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,2,4,DESP,generalization,39,2423,37,8,0.9820502592740327,0.5131578947368421,0.8297872340425532,0.6341463414634146,0.984959349593496,0.015040650406504041,0.9073732918180246,0.9040501614089448,0.644524981434841,0.625469346019647,0.9644654903995848,0.8231738490019189,3.384554386138916,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,2,5,DESP,generalization,40,2432,27,8,0.9860390905464699,0.5970149253731343,0.8333333333333334,0.6956521739130435,0.989019926799512,0.010980073200487994,0.9111766300664227,0.9078454011190048,0.6987567030314683,0.688707325639561,0.9449725498169987,0.8122469824933731,3.1958167552948,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V27', 'V28', 'Time_sin']"
