experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,1,DecisionTreeClassifier,generalization,41,2450,10,6,0.9936178699641005,0.803921568627451,0.8723404255319149,0.8367346938775511,0.9959349593495935,0.004065040650406471,0.9341376924407543,0.9320913722597881,0.8342086762180905,0.8334855453896352,0.9424494032174364,0.7096706776303779,0.0041332244873046875,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,2,DecisionTreeClassifier,generalization,32,2449,11,15,0.9896290386916633,0.7441860465116279,0.6808510638297872,0.7111111111111111,0.9955284552845528,0.0044715447154471955,0.83818975955717,0.8232901115969464,0.7065653757060688,0.7058414715598318,0.83818975955717,0.5126631083633811,0.0036995410919189453,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,3,DecisionTreeClassifier,generalization,35,2435,25,12,0.9852413242919824,0.5833333333333334,0.7446808510638298,0.6542056074766355,0.9898373983739838,0.010162601626016232,0.8672591247189068,0.8585528267008067,0.6518181707796452,0.646779051746132,0.8672591247189069,0.439183760647492,0.0033025741577148438,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,4,DecisionTreeClassifier,generalization,37,2423,37,10,0.9812524930195453,0.5,0.7872340425531915,0.6115702479338843,0.984959349593496,0.015040650406504041,0.8860966960733437,0.8805643250388072,0.6188076145296102,0.602454190579336,0.8860966960733436,0.3976058525490329,0.00368499755859375,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,5,DecisionTreeClassifier,generalization,35,2427,32,13,0.9820502592740327,0.5223880597014925,0.7291666666666666,0.6086956521739131,0.9869865799105327,0.013013420089467265,0.8580766232885997,0.8483382076260014,0.6085181462802581,0.5997665615365786,0.8580766232885997,0.38609344085317326,0.003618478775024414,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,6,DecisionTreeClassifier,generalization,30,2450,9,18,0.9892301555644196,0.7692307692307693,0.625,0.6896551724137931,0.9963399755998373,0.0036600244001626647,0.8106699877999186,0.7891213371528477,0.6880568104466341,0.6842348331117487,0.8106699877999186,0.4879491270596177,0.0039479732513427734,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,7,DecisionTreeClassifier,generalization,39,2449,10,9,0.9924212205823694,0.7959183673469388,0.8125,0.8041237113402062,0.9959333062220415,0.004066693777958541,0.9042166531110207,0.8995531175563836,0.8003042095308145,0.8002599853234091,0.921991493832181,0.6627187494169413,0.004014015197753906,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,8,DecisionTreeClassifier,generalization,31,2424,35,16,0.9796488427773344,0.4696969696969697,0.6595744680851063,0.5486725663716814,0.9857665717771452,0.014233428222854783,0.8226705199311257,0.8063414055076108,0.5467019172462303,0.538563186436272,0.8226705199311257,0.31618480572480334,0.003767251968383789,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,9,DecisionTreeClassifier,generalization,37,2439,20,10,0.9880287310454908,0.6491228070175439,0.7872340425531915,0.7115384615384616,0.9918666124440829,0.008133387555917082,0.8895503274986372,0.8836465147262762,0.7089081061444484,0.705483691521785,0.8895503274986372,0.5150019944667327,0.0036847591400146484,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,10,DecisionTreeClassifier,generalization,33,2444,15,14,0.9884277733439745,0.6875,0.7021276595744681,0.6947368421052632,0.9938999593330622,0.0061000406669378116,0.8480138094537651,0.8353709668750058,0.6888792580379124,0.6888396030108153,0.8480138094537651,0.4882993581362178,0.0037043094635009766,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
