experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,1,ExtraTreesClassifier,resubstitution,345,22119,15,81,0.9957446808510638,0.9583333333333334,0.8098591549295775,0.8778625954198473,0.9993223095689889,0.0006776904310110687,0.9045907322492832,0.899616763477546,0.8789272730365723,0.875712751012313,0.9680392072018872,0.8517723651785151,22560,0.8767384531241713,0.0042713661499764735,0.8776702061800744,0.01807342094865035,"{'classifier__ccp_alpha': np.float64(0.006689882547142287), 'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 4, 'classifier__min_impurity_decrease': np.float64(0.09736638367553174), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 977, 'feature_selection_filter__k': 22}",23.6423122882843,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,2,ExtraTreesClassifier,resubstitution,350,22121,13,76,0.9960549645390071,0.9641873278236914,0.8215962441314554,0.8871989860583016,0.9994126682931237,0.000587331706876304,0.9105044562122895,0.9061532401349268,0.8881415137116658,0.8852043879202524,0.9719422374432128,0.8709213431104279,22560,0.8845361417163632,0.0030831348444153223,0.8872869790645644,0.01128874469769405,"{'classifier__ccp_alpha': np.float64(0.006112775896700217), 'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 5, 'classifier__min_impurity_decrease': np.float64(0.07398638198034742), 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 911, 'feature_selection_filter__k': 24}",21.018481016159058,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,3,ExtraTreesClassifier,resubstitution,348,22121,13,78,0.9959663120567376,0.96398891966759,0.8169014084507042,0.8843710292249047,0.9994126682931237,0.000587331706876304,0.908157038371914,0.9035605216874679,0.8854656770360604,0.8823326310982174,0.9727523903700509,0.8603031770425436,22560,0.8821240323880574,0.006553917233389382,0.8831026250886366,0.02491265640618646,"{'classifier__ccp_alpha': np.float64(0.008011292402349716), 'classifier__max_depth': 19, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 10, 'classifier__min_impurity_decrease': np.float64(0.08626743360369593), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 385, 'feature_selection_filter__k': 22}",18.924338340759277,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,4,ExtraTreesClassifier,resubstitution,349,22118,16,77,0.995877659574468,0.9561643835616438,0.8192488262910798,0.8824273072060683,0.9992771302069214,0.0007228697930785621,0.9092629782490006,0.9047964500712515,0.8830660765694894,0.8803420558253174,0.9736173736494447,0.8726240282429799,22560,0.8832573696199615,0.003856277859046785,0.8834383102044789,0.017461104228658552,"{'classifier__ccp_alpha': np.float64(0.0014215650202896591), 'classifier__max_depth': 14, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 4, 'classifier__min_impurity_decrease': np.float64(0.04857100047013496), 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 794, 'feature_selection_filter__k': 'all'}",21.406058311462402,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,5,ExtraTreesClassifier,resubstitution,346,22119,16,79,0.9957890070921985,0.9558011049723757,0.8141176470588235,0.8792884371029225,0.9992771628642422,0.0007228371357578256,0.9066974049615328,0.9019585204379709,0.880084589258604,0.8771595378465779,0.9694261151490187,0.8624638931996352,22560,0.8823012628655457,0.00397457210974167,0.8848957505952721,0.018075162758185957,"{'classifier__ccp_alpha': np.float64(0.009099494466458694), 'classifier__max_depth': 19, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 13, 'classifier__min_impurity_decrease': np.float64(0.06591872229787107), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 304, 'feature_selection_filter__k': 22}",22.215738773345947,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,6,ExtraTreesClassifier,resubstitution,353,22121,14,72,0.9961879432624113,0.9618528610354223,0.8305882352941176,0.8914141414141414,0.9993675175062119,0.0006324824937881113,0.9149778764001648,0.9110778796435285,0.8919656484187855,0.8894846478923784,0.9703532069254176,0.8754542859012436,22560,0.8901382814640281,0.005592982779113192,0.892414611885344,0.019710099672400633,"{'classifier__ccp_alpha': np.float64(0.003073934601577203), 'classifier__max_depth': 7, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 8, 'classifier__min_impurity_decrease': np.float64(0.09353298208995899), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 776, 'feature_selection_filter__k': 22}",19.111408233642578,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,7,ExtraTreesClassifier,resubstitution,341,22118,17,84,0.9955230496453901,0.952513966480447,0.8023529411764706,0.8710089399744572,0.9992319855432573,0.0007680144567426828,0.900792463359864,0.8953975220639362,0.8720596809820381,0.8687479046876242,0.973822772027266,0.8682080129652175,22560,0.8781806930455485,0.0041940623336746245,0.8798836146767165,0.01289219249217022,"{'classifier__ccp_alpha': np.float64(0.007655156885095032), 'classifier__max_depth': 13, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 4, 'classifier__min_impurity_decrease': np.float64(0.06515641449922903), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 227, 'feature_selection_filter__k': 24}",21.821006059646606,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,8,ExtraTreesClassifier,resubstitution,347,22119,16,79,0.9957891937414122,0.9559228650137741,0.8145539906103286,0.8795944233206591,0.9992771628642422,0.0007228371357578256,0.9069155767372854,0.9022001999206362,0.8803768971980809,0.8774654539302934,0.9700619120187581,0.851990262445869,22561,0.8853684499741707,0.003975630952454946,0.8861662635579572,0.022894418226453297,"{'classifier__ccp_alpha': np.float64(0.003930553850050462), 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 16, 'classifier__min_impurity_decrease': np.float64(0.0896307404937981), 'classifier__min_samples_leaf': 6, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 198, 'feature_selection_filter__k': 24}",19.004276990890503,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,9,ExtraTreesClassifier,resubstitution,343,22122,13,83,0.995744869465006,0.9634831460674157,0.8051643192488263,0.8772378516624041,0.9994126948271967,0.0005873051728032541,0.9022885070380116,0.8970459531591315,0.8787428331843427,0.8750904155221146,0.9700289834784629,0.8601272947128901,22561,0.8768795604768027,0.007126984642442803,0.8801622287650528,0.030920395816659587,"{'classifier__ccp_alpha': np.float64(0.004206244998635097), 'classifier__max_depth': 8, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 3, 'classifier__min_impurity_decrease': np.float64(0.06605265612088683), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 684, 'feature_selection_filter__k': 22}",19.781205892562866,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,10,ExtraTreesClassifier,resubstitution,349,22121,14,77,0.9959664908470369,0.9614325068870524,0.8192488262910798,0.8846641318124208,0.9993675175062119,0.0006324824937881113,0.9093081718986458,0.9048373697800032,0.8855533653030844,0.8826248032384916,0.971492951383476,0.8600925960429808,22561,0.8853901222362955,0.011568847507323421,0.8827841026942098,0.04532185457171419,"{'classifier__ccp_alpha': np.float64(0.006757314155035523), 'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 11, 'classifier__min_impurity_decrease': np.float64(0.09427227276863137), 'classifier__min_samples_leaf': 6, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 536, 'feature_selection_filter__k': 22}",21.85800528526306,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
