experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,1,KNORAU,generalization,44,2376,84,3,0.9652971679297966,0.34375,0.9361702127659575,0.5028571428571429,0.9658536585365853,0.034146341463414664,0.9510119356512714,0.950896116835574,0.5558176166212264,0.48883857949392184,0.9630773222625844,0.9422336861455107,6.437752723693848,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,2,KNORAU,generalization,38,2428,32,9,0.9836457917830076,0.5428571428571428,0.8085106382978723,0.6495726495726496,0.9869918699186991,0.013008130081300862,0.8977512541082857,0.8933047781931864,0.6549094411301519,0.6415311485357764,0.9278152568759731,0.8166375440361581,4.000680208206177,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,3,KNORAU,generalization,39,2415,45,8,0.9788591942560829,0.4642857142857143,0.8297872340425532,0.5954198473282443,0.9817073170731707,0.018292682926829285,0.9057472755578619,0.9025564798246601,0.6116257206340748,0.5854530592379283,0.9572911261027504,0.8401921797648324,11.417823791503906,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,4,KNORAU,generalization,39,2420,40,8,0.9808536098923015,0.4936708860759494,0.8297872340425532,0.6190476190476191,0.983739837398374,0.016260162601625994,0.9067635357204635,0.9034903201984334,0.6316123380843394,0.6098762870555281,0.9369443002940667,0.8198405642513777,13.717179775238037,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,5,KNORAU,generalization,40,2358,101,8,0.9565217391304348,0.28368794326241137,0.8333333333333334,0.42328042328042326,0.9589263928426189,0.041073607157381065,0.8961298630879762,0.8939269138854972,0.4712491024992122,0.40632040444331474,0.9528178798969771,0.8462205987750646,13.28759217262268,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,6,KNORAU,generalization,37,2376,83,11,0.9625049860390905,0.30833333333333335,0.7708333333333334,0.44047619047619047,0.9662464416429443,0.033753558357055735,0.8685398874881388,0.8630266307786237,0.4731485844429262,0.4247417345284824,0.8676884234783787,0.7386005722135193,8.392756938934326,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,7,KNORAU,generalization,42,2397,62,6,0.9728759473474272,0.40384615384615385,0.875,0.5526315789473685,0.9747864985766572,0.025213501423342777,0.9248932492883286,0.9235465263074596,0.5840044478097792,0.5405950199417915,0.9511912023857936,0.8830642680235912,11.424701929092407,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,8,KNORAU,generalization,38,2364,95,9,0.9584996009577015,0.2857142857142857,0.8085106382978723,0.4222222222222222,0.9613664091093941,0.03863359089060592,0.8849385237036331,0.88163199185781,0.4658808678447669,0.4057522265138698,0.8671272702101701,0.7823414711144075,8.413887739181519,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,9,KNORAU,generalization,43,2361,98,4,0.9592976855546688,0.3049645390070922,0.9148936170212766,0.4574468085106383,0.9601464009760065,0.03985359902399355,0.9375200089986415,0.9372469331285643,0.5151467680032351,0.4417416145053006,0.9732723040848641,0.9214458336948265,4.334674596786499,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,10,KNORAU,generalization,42,2391,68,5,0.9708699122106943,0.38181818181818183,0.8936170212765957,0.535031847133758,0.9723464823098821,0.027653517690117924,0.9329817517932388,0.9321509358309591,0.5734400648632513,0.5224822632092758,0.9547818262050825,0.8601523115988534,5.5449230670928955,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28']"
