experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,1,MLA,resubstitution,283,17686,21,58,0.9956227836879432,0.930921052631579,0.8299120234604106,0.8775193798449612,0.9988140283503699,0.0011859716496300798,0.9143630259053903,0.9104547058085314,0.8767951088516935,0.8752984178605714,0.9635062396417939,0.8562261290578564,22560,0.867450143558866,0.00715933375113209,0.8685786557176831,0.024244373073377106,"{'classifier__estimator__ccp_alpha': np.float64(0.005467102793432797), 'classifier__estimator__max_depth': 14, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 11, 'classifier__estimator__min_impurity_decrease': np.float64(0.08948273504276488), 'classifier__estimator__min_samples_leaf': 8, 'classifier__estimator__min_samples_split': 7, 'classifier__max_features': np.float64(0.5979914312095727), 'classifier__max_samples': np.float64(0.522613644455269), 'classifier__n_estimators': 395, 'feature_selection_filter__k': 28}",39.409942388534546,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,2,MLA,resubstitution,280,17687,20,61,0.9955119680851063,0.9333333333333333,0.8211143695014663,0.8736349453978159,0.9988705031908285,0.0011294968091715152,0.9099924363461473,0.9056417191368502,0.8732129870635081,0.8713598742996408,0.9623695385641179,0.8529188092946951,22560,0.8800437250600842,0.010657429989507045,0.8723683994101737,0.02450539194007819,"{'classifier__estimator__ccp_alpha': np.float64(0.001396923220343891), 'classifier__estimator__max_depth': 11, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.02980035006887627), 'classifier__estimator__min_samples_leaf': 1, 'classifier__estimator__min_samples_split': 8, 'classifier__max_features': np.float64(0.7377981835036266), 'classifier__max_samples': np.float64(0.8181868387857614), 'classifier__n_estimators': 633, 'feature_selection_filter__k': 20}",37.05128526687622,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,3,MLA,resubstitution,288,17671,36,53,0.9950687056737588,0.8888888888888888,0.844574780058651,0.8661654135338346,0.9979669057434912,0.0020330942565087717,0.9212708429010712,0.918072807528968,0.8639482011104728,0.8636551613146374,0.9626988647232144,0.8614936687949137,22560,0.8668324499619162,0.008847609960577638,0.8669714088560128,0.025184724532391182,"{'classifier__estimator__ccp_alpha': np.float64(0.005870198704928197), 'classifier__estimator__max_depth': 19, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.009734347167209402), 'classifier__estimator__min_samples_leaf': 3, 'classifier__estimator__min_samples_split': 8, 'classifier__max_features': np.float64(0.9279764754582693), 'classifier__max_samples': np.float64(0.6893389938917076), 'classifier__n_estimators': 937, 'feature_selection_filter__k': 26}",43.6255943775177,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,4,MLA,resubstitution,281,17682,25,60,0.9952903368794326,0.9183006535947712,0.8240469208211144,0.8686244204018547,0.9985881289885357,0.0014118710114643385,0.9113175249048251,0.9071292481567996,0.8675507546294086,0.8662337540036225,0.9643342336736784,0.8605916595940574,22560,0.8688550629958562,0.0075891684633971924,0.8650455747182779,0.025741104058845315,"{'classifier__estimator__ccp_alpha': np.float64(0.009890115134756001), 'classifier__estimator__max_depth': 6, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.0420138493756127), 'classifier__estimator__min_samples_leaf': 6, 'classifier__estimator__min_samples_split': 5, 'classifier__max_features': np.float64(0.9573202821344433), 'classifier__max_samples': np.float64(0.740436982544221), 'classifier__n_estimators': 677, 'feature_selection_filter__k': 'all'}",41.649022340774536,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,5,MLA,resubstitution,281,17682,26,59,0.9952903368794326,0.9153094462540716,0.8264705882352941,0.8686244204018547,0.9985317370679919,0.0014682629320080798,0.912501162651643,0.9084366307597868,0.8674034638699996,0.8662329608513767,0.9641017187313146,0.8493685410782065,22560,0.8658741233214494,0.0061178239086239865,0.8704557207498385,0.024323379850539714,"{'classifier__estimator__ccp_alpha': np.float64(0.0019512729674487105), 'classifier__estimator__max_depth': 5, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.0006246276335343693), 'classifier__estimator__min_samples_leaf': 5, 'classifier__estimator__min_samples_split': 7, 'classifier__max_features': np.float64(0.5693554620065604), 'classifier__max_samples': np.float64(0.553572597574249), 'classifier__n_estimators': 999, 'feature_selection_filter__k': 20}",46.97925138473511,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,6,MLA,resubstitution,285,17689,19,55,0.9958998226950354,0.9375,0.8382352941176471,0.8850931677018633,0.9989270386266095,0.0010729613733905241,0.9185811663721283,0.9150605990999974,0.8844460332142273,0.8830124791173799,0.9649708008344517,0.8704709384430005,22560,0.8863149622964857,0.010644262458751177,0.8895923285369622,0.0400339123987907,"{'classifier__estimator__ccp_alpha': np.float64(0.005275039881773684), 'classifier__estimator__max_depth': 16, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 4, 'classifier__estimator__min_impurity_decrease': np.float64(0.09359030561693325), 'classifier__estimator__min_samples_leaf': 3, 'classifier__estimator__min_samples_split': 6, 'classifier__max_features': np.float64(0.5139706536510842), 'classifier__max_samples': np.float64(0.8192614284974342), 'classifier__n_estimators': 213, 'feature_selection_filter__k': 26}",31.843825340270996,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,7,MLA,resubstitution,281,17683,25,59,0.995345744680851,0.9183006535947712,0.8264705882352941,0.8699690402476781,0.9985882087192229,0.0014117912807770638,0.9125293984772584,0.9084623185718849,0.86885461784345,0.8676061887735212,0.9622953733108334,0.8461602999169808,22560,0.8809189230699251,0.0072672107945769004,0.8796753271027782,0.02828002800626481,"{'classifier__estimator__ccp_alpha': np.float64(0.004401864942317294), 'classifier__estimator__max_depth': 18, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.0771969229798149), 'classifier__estimator__min_samples_leaf': 7, 'classifier__estimator__min_samples_split': 8, 'classifier__max_features': np.float64(0.9815389586634518), 'classifier__max_samples': np.float64(0.5897327062430766), 'classifier__n_estimators': 701, 'feature_selection_filter__k': 28}",37.817033767700195,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,8,MLA,resubstitution,289,17679,28,52,0.9955673758865248,0.9116719242902208,0.8475073313782991,0.878419452887538,0.9984187044671599,0.0015812955328401435,0.9229630179227295,0.9198734542431047,0.8767702980170831,0.876165048085706,0.9752138384226661,0.8714749535861486,22561,0.8811592033742528,0.00753273391475606,0.8787858518293301,0.01846095537905452,"{'classifier__estimator__ccp_alpha': np.float64(0.006340266857304928), 'classifier__estimator__max_depth': 4, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.05686217582112443), 'classifier__estimator__min_samples_leaf': 7, 'classifier__estimator__min_samples_split': 9, 'classifier__max_features': np.float64(0.9585578427750815), 'classifier__max_samples': np.float64(0.8538104564650183), 'classifier__n_estimators': 450, 'feature_selection_filter__k': 24}",44.42187738418579,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,9,MLA,resubstitution,284,17685,22,57,0.9956227836879432,0.9281045751633987,0.8328445747800587,0.8778979907264297,0.9987575535099114,0.0012424464900886445,0.915801064144985,0.9120360793090007,0.8770074337536725,0.8756760772504256,0.9641656372291423,0.8471237308133472,22561,0.874338181902537,0.009460556054796478,0.869776250880902,0.021575435646760236,"{'classifier__estimator__ccp_alpha': np.float64(0.009189621567851667), 'classifier__estimator__max_depth': 3, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.03672839247247999), 'classifier__estimator__min_samples_leaf': 2, 'classifier__estimator__min_samples_split': 5, 'classifier__max_features': np.float64(0.5554153993389251), 'classifier__max_samples': np.float64(0.5850146123306676), 'classifier__n_estimators': 681, 'feature_selection_filter__k': 20}",41.187445878982544,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,10,MLA,resubstitution,283,17673,34,58,0.9949024822695035,0.8927444794952681,0.8299120234604106,0.8601823708206687,0.9980798554244085,0.0019201445755915314,0.9139959394424095,0.9101200318586252,0.858182223555762,0.857589805298562,0.9637683259615173,0.8651959807201259,22561,0.8623824825327671,0.007170393662288197,0.8672801936988357,0.016693137197241192,"{'classifier__estimator__ccp_alpha': np.float64(0.004162563874873824), 'classifier__estimator__max_depth': 19, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 3, 'classifier__estimator__min_impurity_decrease': np.float64(0.08603773147207142), 'classifier__estimator__min_samples_leaf': 6, 'classifier__estimator__min_samples_split': 7, 'classifier__max_features': np.float64(0.7028798842241408), 'classifier__max_samples': np.float64(0.9540958663163741), 'classifier__n_estimators': 645, 'feature_selection_filter__k': 20}",41.74584650993347,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
