experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,1,StackingClassifier,generalization,44,2443,17,3,0.9920223374551257,0.7213114754098361,0.9361702127659575,0.8148148148148148,0.9930894308943089,0.0069105691056911,0.9646298218301332,0.9642099065120358,0.8180133952893096,0.8108081593226223,0.996791212592977,0.9522543081762547,0.30485057830810547,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,2,StackingClassifier,generalization,40,2443,17,7,0.9904268049461508,0.7017543859649122,0.851063829787234,0.7692307692307693,0.9930894308943089,0.0069105691056911,0.9220766303407715,0.9193380740392161,0.7680992036519532,0.7643889258722638,0.9741913163812489,0.8601973822885639,0.24833941459655762,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,3,StackingClassifier,generalization,41,2443,17,6,0.9908256880733946,0.7068965517241379,0.8723404255319149,0.780952380952381,0.9930894308943089,0.0069105691056911,0.932714928213112,0.9307588606817496,0.7808002918721373,0.776319617662918,0.9675748140460129,0.889858283763331,0.08929324150085449,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,4,StackingClassifier,generalization,39,2445,15,8,0.9908256880733946,0.7222222222222222,0.8297872340425532,0.7722772277227723,0.9939024390243902,0.0060975609756097615,0.9118448365334717,0.9081451182416806,0.769545759867535,0.7676187175322713,0.9690624459436084,0.8649887437562563,0.2559981346130371,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,5,StackingClassifier,generalization,45,2442,17,3,0.9920223374551257,0.7258064516129032,0.9375,0.8181818181818182,0.9930866205774705,0.006913379422529453,0.9652933102887353,0.9648931064068075,0.8211479458206352,0.8141710338079743,0.9902484072116036,0.9404167304422762,0.17148113250732422,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,6,StackingClassifier,generalization,37,2451,8,11,0.9924212205823694,0.8222222222222222,0.7708333333333334,0.7956989247311828,0.9967466449776332,0.0032533550223667884,0.8837899891554832,0.8765418066680708,0.7922700521284084,0.791842014412383,0.9808526501287786,0.8207493317033,0.13469314575195312,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,7,StackingClassifier,generalization,44,2427,32,4,0.9856402074192262,0.5789473684210527,0.9166666666666666,0.7096774193548387,0.9869865799105327,0.013013420089467265,0.9518266232885997,0.9511770067928059,0.7222747302107378,0.7026998537414517,0.9876135285346347,0.9327496784902995,0.16371488571166992,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,8,StackingClassifier,generalization,40,2433,26,7,0.9868316041500399,0.6060606060606061,0.851063829787234,0.7079646017699115,0.9894265961773079,0.010573403822692118,0.9202452129822709,0.9176410999056258,0.7120230992902542,0.7014232382822936,0.9252507073451411,0.8546659379571004,0.327700138092041,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,9,StackingClassifier,generalization,44,2431,28,3,0.9876296887470072,0.6111111111111112,0.9361702127659575,0.7394957983193278,0.9886132574217161,0.01138674257828387,0.9623917350938368,0.9620344502894552,0.7510030774117379,0.7334463331114511,0.9759026762306076,0.9392246154073873,0.2762410640716553,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning_with_RandomUnderSampler___RandomizedSearchCV__niter_30__cv_5,1,10,StackingClassifier,generalization,41,2438,21,6,0.9892258579409418,0.6612903225806451,0.8723404255319149,0.7522935779816514,0.9914599430662872,0.008540056933712847,0.931900184299101,0.9299949401111239,0.7543886276710562,0.7468933063001728,0.9741289055402215,0.9030806607111531,0.16095948219299316,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
