experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,1,DESP,generalization,44,2439,21,3,0.9904268049461508,0.676923076923077,0.9361702127659575,0.7857142857142857,0.9914634146341463,0.008536585365853666,0.9638168137000519,0.963420217676436,0.7917051283565953,0.7809475960593285,0.975315689327106,0.9222640281523586,8.23593807220459,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,2,DESP,generalization,39,2430,30,8,0.9848424411647387,0.5652173913043478,0.8297872340425532,0.6724137931034483,0.9878048780487805,0.012195121951219523,0.9087960560456668,0.9053551112849803,0.6778159424441649,0.6649409480666558,0.9193565127140634,0.7418091892874029,8.366140127182007,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,3,DESP,generalization,40,2437,23,7,0.9880335061826885,0.6349206349206349,0.851063829787234,0.7272727272727273,0.990650406504065,0.009349593495935005,0.9208571181456495,0.9182084343653296,0.729390797518978,0.7212875396519522,0.9561321570662515,0.8643370370772301,11.639806032180786,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,4,DESP,generalization,39,2443,17,8,0.9900279218189071,0.6964285714285714,0.8297872340425532,0.7572815533980582,0.9930894308943089,0.0069105691056911,0.911438332468431,0.907773612757433,0.7552410027774682,0.7522306162707496,0.9204765611485903,0.8060681399929001,9.795728921890259,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,5,DESP,generalization,40,2410,49,8,0.9772636617471081,0.449438202247191,0.8333333333333334,0.583941605839416,0.9800732004880033,0.019926799511996718,0.9067032669106683,0.9037298639932931,0.6023992022977794,0.5733275607243629,0.9653356716822556,0.7804857414566456,15.621386528015137,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,6,DESP,generalization,35,2425,34,13,0.9812524930195453,0.5072463768115942,0.7291666666666666,0.5982905982905983,0.986173241154941,0.013826758845059017,0.8576699539108038,0.8479885936784829,0.5991988089856234,0.5890092258323305,0.9362291581943879,0.7086871276068764,6.872358560562134,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,7,DESP,generalization,42,2414,45,6,0.9796569605105704,0.4827586206896552,0.875,0.6222222222222222,0.9816998779991867,0.018300122000813324,0.9283499389995933,0.9268157277740211,0.6414477392302413,0.6126637038652742,0.9629380168090009,0.837623642198259,7.900549650192261,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,8,DESP,generalization,35,2405,54,12,0.9736632083000798,0.39325842696629215,0.7446808510638298,0.5147058823529411,0.978039853599024,0.02196014640097599,0.8613603523314268,0.8534210863064403,0.5297431644243755,0.5024936080613627,0.8940453220042744,0.6404533327279054,6.695438861846924,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,9,DESP,generalization,44,2456,3,3,0.9976057462090981,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9987799918666125,0.001220008133387518,0.967475102316285,0.9669684987072474,0.9349502046325698,0.93495020463257,0.983655352028588,0.9400786823636211,18.913403272628784,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,10,DESP,generalization,40,2423,36,7,0.9828411811652035,0.5263157894736842,0.851063829787234,0.6504065040650406,0.9853599023993493,0.014640097600650659,0.9182118660932916,0.9157533359233617,0.6616748188195877,0.6421117657608588,0.9633564932986077,0.8277436150132624,7.642476320266724,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,2,1,DESP,generalization,39,2446,14,8,0.9912245712006382,0.7358490566037735,0.8297872340425532,0.78,0.9943089430894309,0.005691056910569148,0.9120480885659921,0.9083308140044316,0.7769966887886955,0.7755394395201003,0.9204203425012973,0.7975080955256835,7.421878814697266,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
