experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,1,DecisionTreeClassifier,resubstitution,340,22024,110,86,0.9913120567375886,0.7555555555555555,0.7981220657276995,0.776255707762557,0.9950302701725852,0.004969729827414837,0.8965761679501423,0.8911540914408319,0.7721305424612366,0.7718291195284006,0.8969741917666658,0.6088347031228611,22560,0.7872636713946952,0.01633534331195136,0.7849417168197655,0.033521994980285005,"{'classifier__ccp_alpha': np.float64(0.0009997491581800288), 'classifier__max_depth': 13, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 5, 'classifier__min_impurity_decrease': np.float64(0.014286681792194078), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 7, 'feature_selection_filter__k': 28}",5.764945030212402,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,2,DecisionTreeClassifier,resubstitution,315,22039,95,111,0.9908687943262411,0.7682926829268293,0.7394366197183099,0.7535885167464115,0.9957079606035962,0.004292039396403768,0.867572290160953,0.8580576487715352,0.7490808912995529,0.7489384598429893,0.867572290160953,0.5730239571836834,22560,0.6919122163276874,0.0634537663905378,0.6866616559957007,0.054736779395625025,"{'classifier__ccp_alpha': np.float64(0.009375550594407336), 'classifier__max_depth': 13, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 5, 'classifier__min_impurity_decrease': np.float64(0.06721772794761761), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 5, 'feature_selection_filter__k': 'all'}",3.8487255573272705,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,3,DecisionTreeClassifier,resubstitution,318,21887,247,108,0.9842641843971631,0.5628318584070796,0.7464788732394366,0.6417759838546923,0.9888406975693503,0.011159302430649665,0.8676597854043935,0.8591558006175988,0.6405081649414838,0.6338931356334323,0.8676597854043935,0.4249293255295281,22560,0.6874201268557758,0.07289352077031111,0.6818928132349816,0.046144692039374824,"{'classifier__ccp_alpha': np.float64(0.004839414522270678), 'classifier__max_depth': 11, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 6, 'classifier__min_impurity_decrease': np.float64(0.09908226809807817), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 8, 'feature_selection_filter__k': 'all'}",3.9003777503967285,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,4,DecisionTreeClassifier,resubstitution,316,21894,240,110,0.9844858156028369,0.5683453237410072,0.7417840375586855,0.6435845213849287,0.9891569531038221,0.010843046896177877,0.8654704953312538,0.8565867372616742,0.6416952963762146,0.635796852133522,0.8654704953312538,0.42646537549702523,22560,0.6616750887884908,0.04196113159917617,0.6499573496866107,0.06538586467150422,"{'classifier__ccp_alpha': np.float64(0.0013602530547728031), 'classifier__max_depth': 19, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 8, 'classifier__min_impurity_decrease': np.float64(0.08872032376098617), 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 2, 'feature_selection_filter__k': 'all'}",3.823115110397339,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,5,DecisionTreeClassifier,resubstitution,318,21895,240,107,0.9846187943262411,0.5698924731182796,0.7482352941176471,0.646998982706002,0.9891574429636323,0.010842557036367717,0.8686963685406397,0.8603037314022026,0.6454831418960569,0.6392841640793689,0.8686963685406397,0.4311565700405077,22560,0.6423717046658414,0.016900924192937983,0.6357793995222493,0.018337945199699803,"{'classifier__ccp_alpha': np.float64(0.005355211867316955), 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 6, 'classifier__min_impurity_decrease': np.float64(0.09077156911757688), 'classifier__min_samples_leaf': 7, 'classifier__min_samples_split': 7, 'feature_selection_filter__k': 'all'}",3.9287312030792236,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,6,DecisionTreeClassifier,resubstitution,317,22035,100,108,0.9907801418439717,0.7601918465227818,0.7458823529411764,0.7529691211401425,0.9954822679015134,0.004517732098486604,0.8706823104213449,0.8616917408758189,0.748307034072853,0.748271960783367,0.8706823104213449,0.5718009172136634,22560,0.7126045582859376,0.04937541189073139,0.7040466188502446,0.061924453275371515,"{'classifier__ccp_alpha': np.float64(0.003863063807868756), 'classifier__max_depth': 16, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 15, 'classifier__min_impurity_decrease': np.float64(0.09040516089954148), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 5, 'feature_selection_filter__k': 'all'}",3.715658187866211,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,7,DecisionTreeClassifier,resubstitution,340,22078,57,85,0.9937056737588652,0.8564231738035264,0.8,0.8272506082725061,0.9974248927038627,0.0025751072961373023,0.8987124463519314,0.8932748256629033,0.824545242478377,0.824048834313641,0.9000450178716167,0.6915566039274204,22560,0.6659140934971688,0.16995013593206948,0.6552778743860187,0.18942047423771396,"{'classifier__ccp_alpha': np.float64(0.009168930053159854), 'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 16, 'classifier__min_impurity_decrease': np.float64(0.013223020125432795), 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'feature_selection_filter__k': 28}",3.761794090270996,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,8,DecisionTreeClassifier,resubstitution,322,21897,238,104,0.9848410974690838,0.575,0.755868544600939,0.6531440162271805,0.989247797605602,0.010752202394398003,0.8725581711032705,0.8647203553900131,0.6518586416593473,0.6455414928298965,0.8725581711032705,0.4392341378917834,22561,0.6432481114321151,0.011934525824206748,0.6408233210868672,0.02280044285233932,"{'classifier__ccp_alpha': np.float64(0.006657567170339072), 'classifier__max_depth': 8, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': 9, 'classifier__min_impurity_decrease': np.float64(0.09251000983820253), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 8, 'feature_selection_filter__k': 'all'}",3.7846760749816895,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,9,DecisionTreeClassifier,resubstitution,316,21883,252,110,0.98395461194096,0.5563380281690141,0.7417840375586855,0.635814889336016,0.9886153151118139,0.011384684888186114,0.8651996763352496,0.8563521822451283,0.6345831517685153,0.6277825900256215,0.8651996763352496,0.4175583391873296,22561,0.6372891389705988,0.02192688933981757,0.6322052921517438,0.017598746217206643,"{'classifier__ccp_alpha': np.float64(0.004946016455380215), 'classifier__max_depth': 14, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 3, 'classifier__min_impurity_decrease': np.float64(0.06099381327355646), 'classifier__min_samples_leaf': 7, 'classifier__min_samples_split': 7, 'feature_selection_filter__k': 'all'}",3.9159393310546875,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,10,DecisionTreeClassifier,resubstitution,319,21892,243,107,0.9844865032578343,0.5676156583629893,0.7488262910798122,0.645748987854251,0.9890219110006777,0.010978088999322289,0.868924101040245,0.8605844580349482,0.6443798604260021,0.6379721581019578,0.868924101040245,0.4297882257862452,22561,0.6542160017202936,0.06056940903005049,0.6414444827337231,0.044731849549842925,"{'classifier__ccp_alpha': np.float64(0.007031991392016316), 'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__max_leaf_nodes': 19, 'classifier__min_impurity_decrease': np.float64(0.06037239349712264), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 3, 'feature_selection_filter__k': 'all'}",3.9476375579833984,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
