experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,1,KNORAE,generalization,44,2394,66,3,0.9724770642201835,0.4,0.9361702127659575,0.5605095541401274,0.973170731707317,0.02682926829268295,0.9546704722366373,0.9544912000432699,0.6021613396633938,0.5486524778283093,0.9628524476734129,0.5391757238372048,4.523284196853638,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,2,KNORAE,generalization,40,2425,35,7,0.9832469086557638,0.5333333333333333,0.851063829787234,0.6557377049180327,0.9857723577235772,0.014227642276422814,0.9184180937554056,0.9159449754557415,0.6662611924383626,0.6476151591009491,0.9037363777893099,0.6975523379316381,6.079953908920288,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,3,KNORAE,generalization,40,2407,53,7,0.976067012365377,0.43010752688172044,0.851063829787234,0.5714285714285714,0.9784552845528456,0.021544715447154417,0.9147595571700398,0.9125392603866984,0.5952957378609555,0.560481302485405,0.932658709565819,0.7305221350448445,9.674312114715576,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,4,KNORAE,generalization,37,2386,74,10,0.9664938173115277,0.3333333333333333,0.7872340425531915,0.46835443037974683,0.9699186991869919,0.030081300813008083,0.8785763708700918,0.873815208444502,0.4992235745365205,0.4539712501815014,0.9236983220896039,0.5665237801999068,8.583317518234253,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,5,KNORAE,generalization,35,2392,67,13,0.9680893498205025,0.3431372549019608,0.7291666666666666,0.4666666666666667,0.972753151687678,0.027246848312322047,0.8509599091771722,0.8421990103921985,0.48688877420936605,0.4524078654937229,0.8941727667073336,0.4755899692337022,12.876174688339233,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,6,KNORAE,generalization,34,2366,93,14,0.9573195053849222,0.2677165354330709,0.7083333333333334,0.38857142857142857,0.9621797478649857,0.037820252135014276,0.8352565405991595,0.8255567745897502,0.4190026783514434,0.3710943819118333,0.8955664565541548,0.34123445002000785,3.5111958980560303,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,7,KNORAE,generalization,38,2389,70,10,0.9680893498205025,0.35185185185185186,0.7916666666666666,0.48717948717948717,0.9715331435542903,0.028466856445709676,0.8815999051104785,0.8770008012047726,0.5151232297207997,0.4732141919080489,0.9252575572726038,0.40478965474389766,9.369791269302368,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,8,KNORAE,generalization,34,2385,74,13,0.9652833200319234,0.3148148148148148,0.723404255319149,0.43870967741935485,0.9699064660431069,0.03009353395689307,0.846655360681128,0.8376362365592485,0.46314783940234705,0.4236461015443669,0.8719943239337907,0.6160645500152482,10.384161472320557,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,9,KNORAE,generalization,44,2410,49,3,0.9792498004788508,0.4731182795698925,0.9361702127659575,0.6285714285714286,0.9800732004880033,0.019926799511996718,0.9581217066269804,0.9578702086541093,0.6575350738845265,0.6190799127735327,0.951554428802575,0.8124040102200432,15.058341026306152,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,10,KNORAE,generalization,40,2414,45,7,0.9792498004788508,0.47058823529411764,0.851063829787234,0.6060606060606061,0.9816998779991867,0.018300122000813324,0.9163818538932104,0.9140510149174652,0.6240841113112294,0.5963098122068636,0.9541977797582479,0.8118514756940688,5.332686185836792,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 27, 28]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V27', 'V28']"
