experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,1,KNeighborsClassifier,resubstitution,426,22134,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22560,1.0,0.0,0.8874130384358583,0.014556212023423467,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance', 'feature_selection_filter__k': 24}",19.81444764137268,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,2,KNeighborsClassifier,resubstitution,426,22134,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22560,1.0,0.0,0.8977723303781522,0.02070633037017137,"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance', 'feature_selection_filter__k': 22}",20.188445806503296,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,3,KNeighborsClassifier,resubstitution,426,22134,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22560,1.0,0.0,0.8919370078977062,0.025430673777790097,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance', 'feature_selection_filter__k': 22}",21.2661714553833,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,4,KNeighborsClassifier,resubstitution,426,22134,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22560,1.0,0.0,0.8943396448875818,0.023296891403971808,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance', 'feature_selection_filter__k': 20}",19.396924257278442,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,5,KNeighborsClassifier,resubstitution,425,22135,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22560,1.0,0.0,0.8914702286619092,0.015027306747913305,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance', 'feature_selection_filter__k': 26}",21.657827377319336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,6,KNeighborsClassifier,resubstitution,363,22125,10,62,0.9968085106382979,0.9731903485254692,0.8541176470588235,0.9097744360902256,0.9995482267901513,0.00045177320984868263,0.9268329369244874,0.9239760708956826,0.9101614584654008,0.9081569821716029,0.9995052286105317,0.9655184142466114,22560,0.906262128664763,0.005396986489412029,0.9013385247291279,0.013025916191778253,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'feature_selection_filter__k': 22}",16.060091257095337,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,7,KNeighborsClassifier,resubstitution,425,22135,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22560,1.0,0.0,0.8877178672643898,0.010807376794355122,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'feature_selection_filter__k': 28}",17.361271381378174,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,8,KNeighborsClassifier,resubstitution,426,22135,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22561,1.0,0.0,0.8979358174026801,0.018262342397522648,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance', 'feature_selection_filter__k': 26}",20.20584273338318,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,9,KNeighborsClassifier,resubstitution,426,22135,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22561,1.0,0.0,0.8797873292417215,0.026607814887994283,"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance', 'feature_selection_filter__k': 28}",18.951880931854248,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,10,KNeighborsClassifier,resubstitution,367,22124,11,59,0.9968973006515669,0.9708994708994709,0.8615023474178404,0.9129353233830846,0.9995030494691665,0.0004969505308335398,0.9305026984435034,0.9279408512232753,0.9130496553203903,0.911361561224602,0.9997169524185243,0.9776273520475258,22561,0.9125601176851804,0.008433634934614706,0.8966850828465958,0.039006571307232486,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform', 'feature_selection_filter__k': 22}",19.444496154785156,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
