experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,1,MLA,resubstitution,280,17678,29,61,0.9950132978723404,0.9061488673139159,0.8211143695014663,0.8615384615384616,0.9983622296267013,0.0016377703732987081,0.9097382995640838,0.9054112726899345,0.8600870980893723,0.8590056544607325,0.9653445702256361,0.8508476261257953,22560,0.8694136574250259,0.008820094964678508,0.8688299818981957,0.021951389670887077,"{'classifier__estimator__ccp_alpha': np.float64(0.006957843993450822), 'classifier__estimator__max_depth': 9, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 17, 'classifier__estimator__min_impurity_decrease': np.float64(0.08172222002012158), 'classifier__estimator__min_samples_leaf': 9, 'classifier__estimator__min_samples_split': 5, 'classifier__max_features': np.float64(0.7648252891780032), 'classifier__max_samples': np.float64(0.6209261454502258), 'classifier__n_estimators': 403, 'feature_selection_filter__k': 'all'}",56.391327142715454,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,2,MLA,resubstitution,281,17680,27,60,0.9951795212765957,0.9123376623376623,0.8240469208211144,0.8659476117103235,0.9984751793076184,0.0015248206923815788,0.9112610500643664,0.9070779442940684,0.8646594511001238,0.8634997047751318,0.9625661240058317,0.8555025399323336,22560,0.8700635895473748,0.008088031701360897,0.8731377543343466,0.02934548003601615,"{'classifier__estimator__ccp_alpha': np.float64(0.008872905916605034), 'classifier__estimator__max_depth': 16, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 7, 'classifier__estimator__min_impurity_decrease': np.float64(0.09973726003484885), 'classifier__estimator__min_samples_leaf': 4, 'classifier__estimator__min_samples_split': 7, 'classifier__max_features': np.float64(0.6606457942170065), 'classifier__max_samples': np.float64(0.9867194990409218), 'classifier__n_estimators': 249, 'feature_selection_filter__k': 24}",43.2890191078186,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,3,MLA,resubstitution,286,17681,26,55,0.9955119680851063,0.9166666666666666,0.8387096774193549,0.8759571209800919,0.998531654148077,0.0014683458519230141,0.9186206657837159,0.9151383291850191,0.8745712686166092,0.8736763516456169,0.9637653448848948,0.8606829983353639,22560,0.8767146975633493,0.005440321294451833,0.8806224682865903,0.01937501760893929,"{'classifier__estimator__ccp_alpha': np.float64(0.006324318250021736), 'classifier__estimator__max_depth': 9, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.049363527259971944), 'classifier__estimator__min_samples_leaf': 8, 'classifier__estimator__min_samples_split': 9, 'classifier__max_features': np.float64(0.5091275538414759), 'classifier__max_samples': np.float64(0.5914518603702831), 'classifier__n_estimators': 789, 'feature_selection_filter__k': 22}",59.65840983390808,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,4,MLA,resubstitution,281,17673,34,60,0.9947916666666666,0.8920634920634921,0.8240469208211144,0.8567073170731707,0.9980798554244085,0.0019201445755915314,0.9110633881227614,0.9068983579189384,0.8547558708189618,0.8540591903865042,0.9637601280008056,0.8626692035989199,22560,0.8634621976140588,0.009121987678026864,0.8661082008692087,0.024194360795617546,"{'classifier__estimator__ccp_alpha': np.float64(0.009890115134756001), 'classifier__estimator__max_depth': 6, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.0420138493756127), 'classifier__estimator__min_samples_leaf': 6, 'classifier__estimator__min_samples_split': 5, 'classifier__max_features': np.float64(0.9573202821344433), 'classifier__max_samples': np.float64(0.740436982544221), 'classifier__n_estimators': 677, 'feature_selection_filter__k': 'all'}",60.88884997367859,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,5,MLA,resubstitution,283,17680,28,57,0.9952903368794326,0.909967845659164,0.8323529411764706,0.869431643625192,0.9984187937655297,0.0015812062344703337,0.9153858674710001,0.9116122089554323,0.8679318983558559,0.8670384081219176,0.9643784298223468,0.8507833763486559,22560,0.8729585705001636,0.005978530103700763,0.8716250347843371,0.025439658343390525,"{'classifier__estimator__ccp_alpha': np.float64(0.0019512729674487105), 'classifier__estimator__max_depth': 5, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.0006246276335343693), 'classifier__estimator__min_samples_leaf': 5, 'classifier__estimator__min_samples_split': 7, 'classifier__max_features': np.float64(0.5693554620065604), 'classifier__max_samples': np.float64(0.553572597574249), 'classifier__n_estimators': 999, 'feature_selection_filter__k': 20}",62.09506559371948,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,6,MLA,resubstitution,290,17691,17,50,0.9962876773049646,0.9446254071661238,0.8529411764705882,0.8964451313755796,0.9990399819290716,0.0009600180709283812,0.92599057919983,0.923104727280571,0.8957688788042695,0.8945600985534381,0.9647204154984785,0.872718234286026,22560,0.8924885726607531,0.01135382353182634,0.8905471574929692,0.03307464492292354,"{'classifier__estimator__ccp_alpha': np.float64(0.009860829621538092), 'classifier__estimator__max_depth': 13, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.0038753075676337123), 'classifier__estimator__min_samples_leaf': 8, 'classifier__estimator__min_samples_split': 8, 'classifier__max_features': np.float64(0.8980274144547371), 'classifier__max_samples': np.float64(0.6399596333467363), 'classifier__n_estimators': 298, 'feature_selection_filter__k': 28}",42.134307622909546,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V25', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,7,MLA,resubstitution,281,17682,26,59,0.9952903368794326,0.9153094462540716,0.8264705882352941,0.8686244204018547,0.9985317370679919,0.0014682629320080798,0.912501162651643,0.9084366307597868,0.8674034638699996,0.8662329608513767,0.9610516682390147,0.8488422780130166,22560,0.8751081320484321,0.01024254406126283,0.8730378616861175,0.037787170295633325,"{'classifier__estimator__ccp_alpha': np.float64(0.007364646649353414), 'classifier__estimator__max_depth': 9, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 2, 'classifier__estimator__min_impurity_decrease': np.float64(0.0352939314109096), 'classifier__estimator__min_samples_leaf': 6, 'classifier__estimator__min_samples_split': 3, 'classifier__max_features': np.float64(0.8942851194403334), 'classifier__max_samples': np.float64(0.8487421711696964), 'classifier__n_estimators': 736, 'feature_selection_filter__k': 'all'}",56.126944065093994,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,8,MLA,resubstitution,291,17669,38,50,0.9951241134751773,0.8844984802431611,0.8533724340175953,0.8686567164179104,0.9978539560625741,0.002146043937425901,0.9256131950400848,0.9227898240006798,0.8663177433722888,0.8661734770658915,0.9768735528322132,0.8791277856402253,22561,0.874195557113979,0.013855919129867986,0.8772227887416415,0.00827375368596409,"{'classifier__estimator__ccp_alpha': np.float64(0.008760464464901155), 'classifier__estimator__max_depth': 10, 'classifier__estimator__max_features': 'log2', 'classifier__estimator__max_leaf_nodes': 3, 'classifier__estimator__min_impurity_decrease': np.float64(0.09702116299784462), 'classifier__estimator__min_samples_leaf': 3, 'classifier__estimator__min_samples_split': 3, 'classifier__max_features': np.float64(0.5085495037889202), 'classifier__max_samples': np.float64(0.8857922127644541), 'classifier__n_estimators': 625, 'feature_selection_filter__k': 20}",61.23119139671326,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,9,MLA,resubstitution,298,17656,51,43,0.9947916666666666,0.8538681948424068,0.873900293255132,0.863768115942029,0.9971197831366126,0.0028802168633873526,0.9355100381958723,0.9334791218305739,0.8611737242098715,0.861113562539224,0.9948609551336376,0.8952312869501079,22561,0.8993406673669269,0.006163250388068553,0.8783874487978455,0.03090297916300356,"{'classifier__estimator__ccp_alpha': np.float64(0.004235003963518133), 'classifier__estimator__max_depth': 9, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 17, 'classifier__estimator__min_impurity_decrease': np.float64(0.00139053656832), 'classifier__estimator__min_samples_leaf': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__max_features': np.float64(0.691496548136757), 'classifier__max_samples': np.float64(0.5574094748332538), 'classifier__n_estimators': 981, 'feature_selection_filter__k': 'all'}",81.35152864456177,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,10,MLA,resubstitution,284,17666,41,57,0.9945700354609929,0.8738461538461538,0.8328445747800587,0.8528528528528528,0.9976845315411984,0.002315468458801595,0.9152645531606285,0.9115460215677931,0.8503431959497169,0.8500884617620919,0.9653911081440198,0.8758253908576195,22561,0.8602036442739276,0.006873551134537947,0.8683914798279421,0.020006688657889637,"{'classifier__estimator__ccp_alpha': np.float64(0.003919553165367815), 'classifier__estimator__max_depth': 4, 'classifier__estimator__max_features': 'sqrt', 'classifier__estimator__max_leaf_nodes': 6, 'classifier__estimator__min_impurity_decrease': np.float64(0.0719993717271215), 'classifier__estimator__min_samples_leaf': 6, 'classifier__estimator__min_samples_split': 9, 'classifier__max_features': np.float64(0.7937858768616202), 'classifier__max_samples': np.float64(0.8981866298617784), 'classifier__n_estimators': 596, 'feature_selection_filter__k': 24}",67.03457641601562,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
