experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,score_time,fold_size,selected_features_indices,selected_features_names
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,1,MLPClassifier,generalization,44,2458,2,3,0.9980055843637814,0.9565217391304348,0.9361702127659575,0.946236559139785,0.9991869918699187,0.0008130081300813385,0.967678602317938,0.9671654970954241,0.9452773582769699,0.9452206251884612,0.9975177304964539,0.9626119715025493,0.006025075912475586,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,2,MLPClassifier,generalization,40,2458,2,7,0.9964100518548066,0.9523809523809523,0.851063829787234,0.898876404494382,0.9991869918699187,0.0008130081300813385,0.9251254108285764,0.9221561190896035,0.898525559968454,0.8970548648340367,0.9823127486594014,0.9093553289287131,0.0035779476165771484,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,3,MLPClassifier,generalization,37,2459,1,10,0.9956122856003191,0.9736842105263158,0.7872340425531915,0.8705882352941177,0.9995934959349594,0.00040650406504061376,0.8934137692440755,0.8870817486087487,0.8734613464984288,0.8683819914758761,0.9903217436429683,0.8955283810487727,0.005399465560913086,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,4,MLPClassifier,generalization,38,2457,3,9,0.9952134024730754,0.926829268292683,0.8085106382978723,0.8636363636363636,0.998780487804878,0.0012195121951219523,0.9036455630513751,0.8986237531439852,0.8632929547532002,0.8612118360229192,0.9693824597820446,0.850045983539144,0.006197929382324219,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,5,MLPClassifier,generalization,41,2458,1,7,0.9968089349820503,0.9761904761904762,0.8541666666666666,0.9111111111111111,0.9995933306222041,0.0004066693777958763,0.9268799986444354,0.9240234321919544,0.9115963513119532,0.9094937679942959,0.9971109529619087,0.9505357691254588,0.00550389289855957,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,6,MLPClassifier,generalization,34,2456,3,14,0.9932189868368568,0.918918918918919,0.7083333333333334,0.8,0.9987799918666125,0.001220008133387518,0.8535566625999729,0.8411118599244201,0.8035993296210711,0.7966097650601547,0.9398552934797343,0.7929930956005206,0.005583286285400391,2507,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,7,MLPClassifier,generalization,43,2456,3,5,0.9968089349820503,0.9347826086956522,0.8958333333333334,0.9148936170212766,0.9987799918666125,0.001220008133387518,0.9473066625999729,0.945907188565827,0.9134831125924879,0.9132683509051124,0.9908753558357055,0.9445261706613027,0.01869654655456543,2507,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,8,MLPClassifier,generalization,38,2459,0,9,0.9964086193136472,1.0,0.8085106382978723,0.8941176470588236,1.0,0.0,0.9042553191489362,0.8991721961325718,0.8975312032278392,0.8923118058804993,0.9506978273472177,0.8563641882113612,0.0063822269439697266,2506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,9,MLPClassifier,generalization,44,2456,3,3,0.9976057462090981,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9987799918666125,0.001220008133387518,0.967475102316285,0.9669684987072474,0.9349502046325698,0.93495020463257,0.9945748574494042,0.9455511168868338,0.004549980163574219,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,10,MLPClassifier,generalization,41,2451,8,6,0.994413407821229,0.8367346938775511,0.8723404255319149,0.8541666666666666,0.9967466449776332,0.0032533550223667884,0.9345435352547741,0.9324711214977637,0.8515121790950774,0.851320083061406,0.9863376394140501,0.9014770993669459,0.0052585601806640625,2506,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
