experiment_name,iteration,fold,model,split,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,fpr,balanced_accuracy,geometric_mean,mcc,kappa,roc_auc,average_precision,fold_size,cv_tuning_mean_train_score,cv_tuning_std_train_score,cv_tuning_mean_val_score,cv_tuning_std_val_score,best_params,tuning_time,selected_features_indices,selected_features_names
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,1,MLPClassifier,resubstitution,394,22128,6,32,0.9983156028368795,0.985,0.9248826291079812,0.9539951573849879,0.9997289238275956,0.0002710761724044053,0.9623057764677885,0.9615778260052378,0.9536284394373576,0.9531381192275399,0.9976639300275616,0.9772769277842148,22560,0.9083413908178273,0.03228852403780408,0.8896954853448877,0.015114046042638338,"{'classifier__alpha': np.float64(2.32335035153901e-05), 'classifier__batch_size': 16, 'classifier__hidden_layer_sizes': (128, 64, 32), 'classifier__learning_rate_init': np.float64(0.00022219245475399161), 'feature_selection_filter__k': 20}",30.718323469161987,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,2,MLPClassifier,resubstitution,389,22118,16,37,0.9976507092198581,0.9604938271604938,0.9131455399061033,0.9362214199759326,0.9992771302069214,0.0007228697930785621,0.9562113350565123,0.9552410452752859,0.9353355275967157,0.9350255131152084,0.9956610843640802,0.9657243667045282,22560,0.9235053065870522,0.00715490540260843,0.8984276797202073,0.009184489195026428,"{'classifier__alpha': np.float64(0.0024390269240315778), 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': np.float64(0.0020508110823263207), 'feature_selection_filter__k': 28}",15.665775537490845,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,3,MLPClassifier,resubstitution,367,22129,5,59,0.9971631205673759,0.9865591397849462,0.8615023474178404,0.9197994987468672,0.999774103189663,0.0002258968103370229,0.9306382253037517,0.9280666661320516,0.9205487158860782,0.918362251226059,0.9933690271504635,0.9461192322606473,22560,0.9169590890158978,0.01029089055961092,0.8978390156367272,0.02292688411188187,"{'classifier__alpha': np.float64(0.0006628923720882455), 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': np.float64(0.005168090491546442), 'feature_selection_filter__k': 'all'}",12.315661191940308,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,4,MLPClassifier,resubstitution,363,22124,10,63,0.9967641843971631,0.9731903485254692,0.852112676056338,0.9086357947434293,0.999548206379326,0.0004517936206740458,0.925830441217832,0.9228909453370968,0.9090708769998032,0.9069960972786668,0.9892784919510739,0.9157783430177528,22560,0.9131603030720716,0.01231199772153757,0.8986960402466732,0.019767216242987704,"{'classifier__alpha': np.float64(4.787930905543889e-05), 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (128, 64, 32), 'classifier__learning_rate_init': np.float64(0.00014378311573405814), 'feature_selection_filter__k': 'all'}",16.935232877731323,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,5,MLPClassifier,resubstitution,362,22126,9,63,0.9968085106382979,0.9757412398921833,0.851764705882353,0.9095477386934674,0.9995934041111362,0.00040659588886382547,0.9256790549967446,0.9227233506607828,0.9101032929621704,0.9079309459421927,0.9945054810720313,0.9372733988126835,22560,0.9153292059159887,0.010261763925705924,0.8940488116432561,0.015233887675494396,"{'classifier__alpha': np.float64(0.003067462713810303), 'classifier__batch_size': 16, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': np.float64(0.0009400339583655366), 'feature_selection_filter__k': 28}",21.410315990447998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,6,MLPClassifier,resubstitution,356,22126,9,69,0.9965425531914893,0.9753424657534246,0.8376470588235294,0.9012658227848102,0.9995934041111362,0.00040659588886382547,0.9186202314673328,0.9150445207601065,0.9022158042592752,0.8995166213171998,0.9870937429410435,0.9206031422106682,22560,0.93081672362169,0.01671124404457545,0.9046948807216048,0.009852359755402296,"{'classifier__alpha': np.float64(6.61673398346557e-05), 'classifier__batch_size': 16, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': np.float64(0.0001795680812653227), 'feature_selection_filter__k': 22}",20.686264038085938,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27, 28, 29]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27', 'V28', 'Time_sin']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,7,MLPClassifier,resubstitution,381,22129,6,44,0.9977836879432624,0.9844961240310077,0.8964705882352941,0.9384236453201971,0.9997289360740909,0.00027106392590914297,0.9480997621546925,0.9466929741992305,0.9383637587819211,0.9372976975247599,0.9922136621533637,0.964997980777686,22560,0.9221185724915877,0.025210962903650477,0.8927436617553928,0.014322863625817434,"{'classifier__alpha': np.float64(2.111714686032419e-05), 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (128, 32), 'classifier__learning_rate_init': np.float64(0.0006203843240727846), 'feature_selection_filter__k': 'all'}",19.12208104133606,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,8,MLPClassifier,resubstitution,381,22123,12,45,0.9974735162448473,0.9694656488549618,0.8943661971830986,0.9304029304029304,0.9994578721481816,0.000542127851818397,0.9469120346656401,0.9454529794537012,0.9299017746025507,0.9291184631902454,0.9966692861028834,0.9638720153543276,22561,0.9127660562919069,0.0181321028476228,0.899555319650861,0.022925027045222243,"{'classifier__alpha': np.float64(2.445473578981591e-05), 'classifier__batch_size': 16, 'classifier__hidden_layer_sizes': (128, 64, 32), 'classifier__learning_rate_init': np.float64(0.0005440601488086235), 'feature_selection_filter__k': 20}",29.647827625274658,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 27]","['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V27']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,9,MLPClassifier,resubstitution,381,22121,14,45,0.9973848676920349,0.9645569620253165,0.8943661971830986,0.928136419001218,0.9993675175062119,0.0006324824937881113,0.9468668573446553,0.9454102422865666,0.9274926821776127,0.9268065545436744,0.9965971720693864,0.9577091966726496,22561,0.9256194953356263,0.010244383877439572,0.8985888600007929,0.032597890710557145,"{'classifier__alpha': np.float64(0.005997765601352564), 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': np.float64(0.007446045288496486), 'feature_selection_filter__k': 'all'}",12.526539087295532,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'Time_sin', 'Time_cos']"
CostSensitiveLearning___RandomizedSearchCV__niter_30__cv_5,1,10,MLPClassifier,resubstitution,386,22103,32,40,0.9968086520987545,0.9234449760765551,0.9061032863849765,0.9146919431279621,0.9985543257284843,0.0014456742715156512,0.9523288060567304,0.9512062637391083,0.9131086010526618,0.913066002302981,0.9940912624303914,0.9562264455032374,22561,0.9150898466620809,0.01642119125630626,0.899220605623728,0.03870089703405549,"{'classifier__alpha': np.float64(1.816247328767488e-05), 'classifier__batch_size': 16, 'classifier__hidden_layer_sizes': (128, 32), 'classifier__learning_rate_init': np.float64(0.004957802712842528), 'feature_selection_filter__k': 26}",21.621675729751587,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29]","['Amount_log1p', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V14', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24', 'V27', 'V28', 'Time_sin']"
