Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
balanced_accuracy,APosteriori (ClusterCentroids),APosteriori (RandomUnderSampler),-0.008392133981204752,-0.5864665133762395,0.5588969284224314,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),APosteriori (Standard),-0.00699466883950961,-0.4630716989746436,0.6443293180248106,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),APriori (ClusterCentroids),0.00803224883857212,0.5390505762978124,0.5910621377084317,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),APriori (RandomUnderSampler),0.007203940828339084,0.4554671209609688,0.6497706060702715,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),APriori (Standard),0.006524663018741439,0.5004754008109278,0.6178511521691117,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),BalancedRandomForestClassifier (ClusterCentroids),0.0887976177104195,2.9533636549600377,0.003926540084906291,True,Better
balanced_accuracy,APosteriori (ClusterCentroids),BalancedRandomForestClassifier (RandomUnderSampler),0.050758741487887726,2.1213539787307374,0.036389180418068344,True,Better
balanced_accuracy,APosteriori (ClusterCentroids),BalancedRandomForestClassifier (Standard),0.3910040639634793,18.009013946396163,5.286569938251408e-33,True,Better
balanced_accuracy,APosteriori (ClusterCentroids),DESKL (ClusterCentroids),-0.00541627472155537,-0.3738993919325676,0.7092787283921911,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),DESKL (RandomUnderSampler),-0.005273846180279929,-0.33809533421131877,0.736007260524074,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),DESKL (Standard),-0.006230380642643252,-0.43689403103663305,0.663139660051115,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),DESP (ClusterCentroids),-0.0086062163030175,-0.5555616392853774,0.5797638663946011,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),DESP (RandomUnderSampler),-0.006804855247931174,-0.4759568864988257,0.6351537433446157,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),DESP (Standard),-0.007921818832133942,-0.5086258314764186,0.6121461361332452,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),DecisionTreeClassifier (ClusterCentroids),0.020540353911922105,1.1132559571885174,0.26829424249929934,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),DecisionTreeClassifier (RandomUnderSampler),0.035120612880860325,2.346638252588565,0.020935692591239462,True,Better
balanced_accuracy,APosteriori (ClusterCentroids),DecisionTreeClassifier (Standard),0.035595718573746216,2.32112689877876,0.022330727763405715,True,Better
balanced_accuracy,APosteriori (ClusterCentroids),Exponential (ClusterCentroids),-0.008816732630852808,-0.5877680654335888,0.5580263096415317,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),Exponential (RandomUnderSampler),-0.00908089275869628,-0.5970782771328056,0.5518182323252343,False,No Diff
balanced_accuracy,APosteriori (ClusterCentroids),Exponential (Standard),-0.009830457630024436,-0.6647655161029056,0.5077460426115961,False,No Diff
