model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
APosteriori (ClusterCentroids),100.0,0.8087263472351336,0.06440527804651408,0.5421377484780071,0.7818767452301227,0.8240261662040225,0.8508232616516036,0.9108079684538476
APosteriori (RandomUnderSampler),100.0,0.8172343509542279,0.05482636432626196,0.6675547299282112,0.7869100839263833,0.8201562460200167,0.8516077214972283,0.9186051669230332
APosteriori (Standard),100.0,0.8149295973010262,0.05579861818004062,0.6653976861614044,0.7847170320425805,0.8174605982154755,0.8500791394181242,0.9246722811189664
APriori (ClusterCentroids),100.0,0.7718794655230026,0.0713009063525169,0.5621572545003081,0.7296871136560812,0.7751349365111896,0.8293989148695594,0.9014108394114406
APriori (RandomUnderSampler),100.0,0.7486775440186981,0.08260596660070796,0.3862661767795021,0.7011671980532301,0.7549686190405079,0.8124939838786299,0.8934699246929464
APriori (Standard),100.0,0.7434346831611781,0.07978709585386926,0.5001014238326088,0.7018885957557323,0.7548976358223958,0.8013590504324405,0.8826703549012663
BalancedRandomForestClassifier (ClusterCentroids),100.0,0.8633191284127228,0.04472256563646117,0.7207449231140886,0.8374502905832621,0.8673772076964696,0.894199852593965,0.9565239789425962
BalancedRandomForestClassifier (RandomUnderSampler),100.0,0.8678583800658098,0.043318593922510244,0.7429629932062403,0.8428583932958406,0.8701720807347747,0.9005358068618028,0.9529924598477412
BalancedRandomForestClassifier (Standard),100.0,0.25946978041380125,0.3784691650108384,0.0187475069804547,0.0187475069804547,0.0191463901076984,0.787672535328428,0.9480597360825908
DESKL (ClusterCentroids),100.0,0.8618560088429481,0.04668564874393248,0.7240526034853049,0.8339764801095406,0.8656002940030623,0.894639359053636,0.9392465416840498
DESKL (RandomUnderSampler),100.0,0.8573134615312025,0.04822686152464027,0.7146708026211583,0.8350960906187864,0.8606989551123623,0.8945427560388151,0.935356888810202
DESKL (Standard),100.0,0.8584397339086982,0.04806016689629754,0.7172451073957263,0.8298788811729368,0.8630855617773936,0.896219430539986,0.9431828814615516
DESP (ClusterCentroids),100.0,0.8310695498028434,0.06456674375595937,0.5846935038513852,0.7973558182737541,0.8407576876362703,0.8762026542676571,0.9527239860077432
DESP (RandomUnderSampler),100.0,0.8013444279928915,0.06837935172155928,0.5810627359072815,0.7638561435148578,0.8146979495295523,0.8511849300266263,0.9272834352782624
DESP (Standard),100.0,0.8028840472521506,0.07132566318988423,0.5684000376721762,0.7708037558793083,0.8140790675104354,0.8463937186493699,0.9479759145298936
DecisionTreeClassifier (ClusterCentroids),100.0,0.669564660083812,0.1256997667323567,0.2184403614927803,0.6025762743427916,0.6877925964749926,0.7584875130696778,0.8614952812402843
DecisionTreeClassifier (RandomUnderSampler),100.0,0.47416923162021246,0.11959245528048422,0.221851214529163,0.39253657164393285,0.447843747391114,0.5360532971939668,0.7446511107929138
DecisionTreeClassifier (Standard),100.0,0.48020301470106985,0.11072291813635161,0.2140889231083199,0.39801958844879864,0.4614994544039495,0.5416945414468821,0.7446511107929138
