model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
APosteriori (ClusterCentroids),100.0,0.8165049976288116,0.060039547682738156,0.6165413533834586,0.78,0.825414612281488,0.8571428571428571,0.9247311827956988
APosteriori (RandomUnderSampler),100.0,0.7442096714220408,0.09797263108958316,0.484472049689441,0.6830050389372423,0.7568613652357494,0.8141911851589271,0.8888888888888888
APosteriori (Standard),100.0,0.7475493408040428,0.0957227390696179,0.4938271604938271,0.6839080459770115,0.7613871635610766,0.8277603622431209,0.9090909090909092
APriori (ClusterCentroids),100.0,0.5009712305389855,0.06279908971531227,0.3305084745762712,0.4650778669183577,0.5,0.5425060346719334,0.6614173228346457
APriori (RandomUnderSampler),100.0,0.5209031427122719,0.07900177863749427,0.3679245283018867,0.4589548738155549,0.5277587681779299,0.5719047619047619,0.6956521739130435
APriori (Standard),100.0,0.5226202514307748,0.07133111965239226,0.3169811320754717,0.47643925841600254,0.5181206653804036,0.5757387462027064,0.7058823529411765
BalancedRandomForestClassifier (ClusterCentroids),100.0,0.12777564793463853,0.06843314577935515,0.0435967302452316,0.0769946472937956,0.10214410323352771,0.16949733434881947,0.3420074349442379
BalancedRandomForestClassifier (RandomUnderSampler),100.0,0.14642793383258415,0.05950912744972209,0.0515297906602254,0.10513243981452072,0.12812484801322888,0.17504743833017078,0.3478260869565217
BalancedRandomForestClassifier (Standard),100.0,0.03907282873470888,0.007875405257902014,0.0368050117462803,0.0368050117462803,0.0368194281237759,0.037573385518591,0.0793248945147679
DESKL (ClusterCentroids),100.0,0.8770382683202004,0.03666552610716848,0.7529411764705882,0.8563402889245586,0.8837209302325582,0.9002747252747253,0.945054945054945
DESKL (RandomUnderSampler),100.0,0.8749182009140961,0.036343857814700974,0.7441860465116279,0.8596345514950166,0.8827206801700425,0.9016306274370791,0.9247311827956988
DESKL (Standard),100.0,0.8765639961938192,0.03514980065395879,0.735632183908046,0.8571428571428571,0.8837209302325582,0.9037351443123938,0.9347826086956522
DESP (ClusterCentroids),100.0,0.7447755637819463,0.1103648367175569,0.5234899328859061,0.6707650273224044,0.7347539847539848,0.8238970588235294,0.9565217391304348
DESP (RandomUnderSampler),100.0,0.6702582530405577,0.08186658898366565,0.41,0.6287989869368169,0.6666666666666666,0.7192982456140351,0.8913043478260869
DESP (Standard),100.0,0.6754717972970335,0.08388947196657921,0.448087431693989,0.6237971014492754,0.6726554946825652,0.7302152104947269,0.9361702127659576
DecisionTreeClassifier (ClusterCentroids),100.0,0.7679883399189211,0.08831623500401956,0.4,0.7286931818181818,0.7808045977011495,0.8262959866220736,0.9032258064516128
DecisionTreeClassifier (RandomUnderSampler),100.0,0.6657607732842905,0.09223628036256644,0.4,0.6098010316875461,0.6543755310110451,0.7122252747252747,0.8571428571428571
DecisionTreeClassifier (Standard),100.0,0.6709305823817214,0.0882226270576962,0.3592814371257485,0.6137521222410867,0.6600624634003514,0.7260659694288013,0.8571428571428571
Exponential (ClusterCentroids),100.0,0.819068531170657,0.047706020044999874,0.6722689075630253,0.7878787878787878,0.8186021505376344,0.8522060943958474,0.9565217391304348
Exponential (RandomUnderSampler),100.0,0.8004634053794036,0.044467840232978145,0.6818181818181818,0.7732579861759761,0.7959183673469388,0.8291329132913291,0.9263157894736842
Exponential (Standard),100.0,0.806249199157276,0.04861345463580498,0.6804123711340206,0.7777777777777778,0.8116009714178966,0.8385714285714285,0.9263157894736842
ExtraTreesClassifier (ClusterCentroids),100.0,0.882115272506707,0.036138380045319815,0.7654320987654321,0.8604651162790697,0.8850422832980973,0.907505285412262,0.9565217391304348
ExtraTreesClassifier (RandomUnderSampler),100.0,0.8798484728315722,0.03645021063775215,0.7654320987654321,0.8604651162790697,0.8863636363636364,0.9010989010989012,0.9565217391304348
ExtraTreesClassifier (Standard),100.0,0.8787459955296651,0.036819647623011376,0.7560975609756098,0.8596345514950166,0.8837209302325582,0.8994320286455117,0.9565217391304348
KNOP (ClusterCentroids),100.0,0.7059572732887444,0.15516642471085,0.4041450777202072,0.5945945945945946,0.7207207207207207,0.8302612176111228,0.9565217391304348
KNOP (RandomUnderSampler),100.0,0.6110616462569329,0.122606117128496,0.3333333333333333,0.5242450638792102,0.6124217621569572,0.6960510570402871,0.8631578947368421
KNOP (Standard),100.0,0.616325991685723,0.12873209778443115,0.3305084745762712,0.5097414762083177,0.629222309505106,0.7000659195781147,0.898876404494382
KNORAE (ClusterCentroids),100.0,0.5422246685407168,0.08278749663780015,0.3953488372093023,0.480326902013649,0.5401770936775903,0.5975229658792651,0.7572815533980582
KNORAE (RandomUnderSampler),100.0,0.5092839986184139,0.0770560592333058,0.3392857142857143,0.451699813853238,0.5064113102087786,0.569368410381184,0.7090909090909091
KNORAE (Standard),100.0,0.5278297050645664,0.08007742454042996,0.3714285714285714,0.4635761589403973,0.5294167912839137,0.5787118837275577,0.711864406779661
KNORAU (ClusterCentroids),100.0,0.6242589048325193,0.16914208750898593,0.2591362126245847,0.4854636248589116,0.5925925925925926,0.7487761250235361,0.9555555555555556
