model,balanced_accuracy,average_precision,f1
APosteriori,0.907 ± 0.032,0.809 ± 0.064,0.817 ± 0.060
APriori,0.899 ± 0.029,0.772 ± 0.071,0.501 ± 0.063
BalancedRandomForestClassifier,0.818 ± 0.082,0.863 ± 0.045,0.128 ± 0.068
DESKL,0.912 ± 0.029,0.862 ± 0.047,0.877 ± 0.037
DESP,0.915 ± 0.028,0.831 ± 0.065,0.745 ± 0.110
DecisionTreeClassifier,0.886 ± 0.041,0.670 ± 0.126,0.768 ± 0.088
Exponential,0.916 ± 0.028,0.819 ± 0.074,0.819 ± 0.048
ExtraTreesClassifier,0.908 ± 0.030,0.869 ± 0.042,0.882 ± 0.036
KNOP,0.915 ± 0.026,0.843 ± 0.051,0.706 ± 0.155
KNORAE,0.905 ± 0.028,0.705 ± 0.094,0.542 ± 0.083
KNORAU,0.913 ± 0.024,0.847 ± 0.047,0.624 ± 0.169
KNeighborsClassifier,0.919 ± 0.027,0.873 ± 0.044,0.888 ± 0.032
Logarithmic,0.917 ± 0.027,0.829 ± 0.062,0.843 ± 0.042
LogitBoostClassifier,0.904 ± 0.032,0.864 ± 0.045,0.882 ± 0.039
METADES,0.900 ± 0.030,0.613 ± 0.131,0.533 ± 0.158
MLA,0.883 ± 0.036,0.759 ± 0.076,0.802 ± 0.080
MLPClassifier,0.919 ± 0.029,0.877 ± 0.045,0.884 ± 0.038
RRC,0.915 ± 0.028,0.817 ± 0.073,0.823 ± 0.049
RUSBoostClassifier,0.914 ± 0.026,0.856 ± 0.053,0.763 ± 0.051
RandomForestClassifier,0.916 ± 0.027,0.856 ± 0.048,0.880 ± 0.037
StackingClassifier,0.927 ± 0.025,0.884 ± 0.040,0.867 ± 0.036
VotingClassifier,0.923 ± 0.027,0.881 ± 0.041,0.899 ± 0.033
XGBClassifier,0.922 ± 0.027,0.887 ± 0.039,0.896 ± 0.034
