model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
APosteriori,100.0,0.9068258978777642,0.032154146563833835,0.8185391800726518,0.8921428447820858,0.9119458426268998,0.9285454718937012,0.9744533757884628
APriori,100.0,0.8987936490391917,0.02892651384903911,0.8020757654385055,0.88145249647409,0.903308251167618,0.9204674434466822,0.9552750209824096
BalancedRandomForestClassifier,100.0,0.8180282801673444,0.08235233817749833,0.5717771451809679,0.7636742578283855,0.8262901702081231,0.8799266995329529,0.9535893444040824
DESKL,100.0,0.9122421725993195,0.028512151180743933,0.8392060197197717,0.895375830283313,0.9146902823323786,0.9354080176440063,0.9770967267441356
DESP,100.0,0.9154321141807813,0.02772093799716391,0.8343254912479559,0.9019598797682089,0.916017907310756,0.9354901040003647,0.9734367023439732
DecisionTreeClassifier,100.0,0.8862855439658418,0.04117892537332928,0.7702233292666396,0.861397249610794,0.8928040131465145,0.9142330272514911,0.9662558380902958
Exponential,100.0,0.9156426305086168,0.027899633180450644,0.8385962636222106,0.9023744732766303,0.9134705634963127,0.9344424258408738,0.9752667145440544
ExtraTreesClassifier,100.0,0.9078272495249721,0.029527800760304344,0.8291774779449922,0.8932103518987999,0.9061483326555511,0.925563995790258,0.9777067308108296
KNOP,100.0,0.9149926136238531,0.025772362931378145,0.8447604544313984,0.9000026920478725,0.9161500379269667,0.9339144048100665,0.9687600044993208
KNORAE,100.0,0.9047061760194645,0.02845188913726263,0.8274121118254263,0.890936897026122,0.9076792013128788,0.9226018377572786,0.9636766372768726
KNORAU,100.0,0.9133321969796093,0.024413602099538686,0.8502508216571527,0.8988685616925043,0.9143853629554094,0.9291240934661786,0.9676784370051827
KNeighborsClassifier,100.0,0.918763342669459,0.02690037007393322,0.8400190278498529,0.9040519844600382,0.9245154067618826,0.9358145010449526,0.9783169001902784
Logarithmic,100.0,0.9165262667722979,0.026607416083471617,0.8392060197197717,0.9032389556658624,0.91408044357844,0.9347982615464453,0.976283387988544
LogitBoostClassifier,100.0,0.9036004371053905,0.0317623250668769,0.8085106382978724,0.8846546798343904,0.9040520671164158,0.9257672684868726,0.9678818543504584
METADES,100.0,0.9004692798691483,0.030024773033311244,0.8289003486973601,0.8818744429927405,0.9025349057882608,0.9202160106599293,0.9636135616675316
MLA,100.0,0.8827513672068314,0.03583371278014444,0.7916666666666667,0.8602285504238021,0.884501660566626,0.9096090641757482,0.9464020065732572
MLPClassifier,100.0,0.918565844022034,0.0287073115979018,0.8331299986444354,0.9038487737557067,0.9161583299444218,0.9367374949166327,0.9785201522227988
RRC,100.0,0.9152070338563686,0.02754774352188088,0.8283644698149109,0.9035655645379589,0.9135722308407617,0.934164310652142,0.9758767186107482
RUSBoostClassifier,100.0,0.9138920645146744,0.025982004519394294,0.8363588381369351,0.8997819559931818,0.9128317888549518,0.9319527330911607,0.9750633798551565
RandomForestClassifier,100.0,0.9162300307731452,0.027490191243335037,0.839409271752292,0.9036455630513752,0.9159549952555239,0.9357635847163503,0.9775033961219316
StackingClassifier,100.0,0.9268602017693177,0.024545971102131154,0.8500471563427444,0.9134196058395219,0.9255959527023324,0.945588998443176,0.978113648157758
VotingClassifier,100.0,0.9229941807535995,0.026903288973334393,0.8402222798823733,0.9052938267372137,0.9253285802047192,0.937296665311102,0.9783169001902784
XGBClassifier,100.0,0.9216110066006216,0.027226720119897227,0.8504540736896731,0.9042553191489362,0.9248204087952294,0.937296665311102,0.978113648157758
