model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
APosteriori,100.0,0.7442096714220409,0.09797263108958318,0.484472049689441,0.6830050389372423,0.7568613652357494,0.8141911851589271,0.8888888888888888
APriori,100.0,0.5209031427122719,0.07900177863749427,0.3679245283018867,0.4589548738155549,0.5277587681779299,0.5719047619047619,0.6956521739130435
BalancedRandomForestClassifier,100.0,0.14642793383258415,0.05950912744972208,0.0515297906602254,0.10513243981452072,0.12812484801322888,0.17504743833017078,0.3478260869565217
DESKL,100.0,0.8749182009140961,0.036343857814700974,0.7441860465116279,0.8596345514950166,0.8827206801700425,0.9016306274370791,0.9247311827956988
DESP,100.0,0.6702582530405579,0.08186658898366565,0.41,0.6287989869368169,0.6666666666666666,0.7192982456140351,0.8913043478260869
DecisionTreeClassifier,100.0,0.6657607732842905,0.09223628036256643,0.4,0.6098010316875461,0.6543755310110451,0.7122252747252747,0.8571428571428571
Exponential,100.0,0.8004634053794036,0.044467840232978145,0.6818181818181818,0.7732579861759761,0.7959183673469388,0.8291329132913291,0.9263157894736842
ExtraTreesClassifier,100.0,0.8798484728315722,0.03645021063775216,0.7654320987654321,0.8604651162790697,0.8863636363636364,0.9010989010989012,0.9565217391304348
KNOP,100.0,0.6110616462569329,0.122606117128496,0.3333333333333333,0.5242450638792102,0.6124217621569572,0.6960510570402871,0.8631578947368421
KNORAE,100.0,0.5092839986184139,0.0770560592333058,0.3392857142857143,0.451699813853238,0.5064113102087786,0.569368410381184,0.7090909090909091
KNORAU,100.0,0.5386387270400109,0.11399681862395106,0.273015873015873,0.458642786723628,0.5367238562091503,0.606569102112676,0.7884615384615384
KNeighborsClassifier,100.0,0.8867188522879295,0.0334087282522912,0.7906976744186046,0.8635167464114832,0.896551724137931,0.9111111111111112,0.9574468085106383
Logarithmic,100.0,0.8335503772193388,0.04147367898825798,0.7070707070707071,0.8113207547169812,0.8342490842490843,0.8631578947368421,0.9263157894736842
LogitBoostClassifier,100.0,0.8829023405284342,0.03860206816480416,0.775,0.8666666666666667,0.8876262626262625,0.9090909090909092,0.945054945054945
METADES,100.0,0.537353228523938,0.13262663416576534,0.2317880794701986,0.44128545872731917,0.5332523199292973,0.6165726817042606,0.8333333333333334
MLA,100.0,0.7896982248829477,0.07602780932201038,0.532258064516129,0.7427073090789905,0.8,0.8479377958079783,0.9010989010989012
MLPClassifier,100.0,0.8750480327776136,0.03402130760486098,0.7951807228915663,0.8532153956490557,0.875,0.8994320286455117,0.9473684210526316
RRC,100.0,0.8026836470684979,0.045308853848227325,0.693069306930693,0.7732579861759761,0.8041237113402062,0.8320957095709571,0.9263157894736842
RUSBoostClassifier,100.0,0.6901558420549696,0.05670364351753437,0.543046357615894,0.6511627906976745,0.691906936911219,0.7342193993570141,0.819047619047619
RandomForestClassifier,100.0,0.8690775376965904,0.038490883387479316,0.75,0.8541081460674157,0.8764044943820225,0.8888888888888888,0.946236559139785
StackingClassifier,100.0,0.7716107951687445,0.04191225677927416,0.6363636363636364,0.75,0.7721035261420879,0.7958033197619793,0.8723404255319149
VotingClassifier,100.0,0.8849719093494001,0.03478878788160775,0.7764705882352941,0.8636363636363636,0.8842105263157894,0.9095959595959597,0.9565217391304348
XGBClassifier,100.0,0.8826046944649181,0.034404855326827716,0.7816091954022989,0.8635167464114832,0.8820366856419988,0.9090909090909092,0.946236559139785
