model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
APosteriori,100.0,0.9152180318589687,0.026646114969330465,0.8474052932018682,0.8967349939456841,0.9136453342514874,0.9350011416252665,0.9752667145440544,100.0,0.8172343509542279,0.05482636432626196,0.6675547299282112,0.7869100839263833,0.8201562460200167,0.8516077214972283,0.9186051669230332,100.0,0.7442096714220409,0.09797263108958318,0.484472049689441,0.6830050389372423,0.7568613652357494,0.8141911851589271,0.8888888888888888
APriori,100.0,0.8996219570494247,0.030388671033308074,0.8030920256011072,0.8823861892905613,0.896162229215069,0.9222417865764495,0.9571094966268812,100.0,0.7486775440186981,0.08260596660070794,0.3862661767795021,0.7011671980532301,0.7549686190405079,0.8124939838786299,0.8934699246929464,100.0,0.5209031427122719,0.07900177863749427,0.3679245283018867,0.4589548738155549,0.5277587681779299,0.5719047619047619,0.6956521739130435
BalancedRandomForestClassifier,100.0,0.8560671563898761,0.05649199779047307,0.6407076047173648,0.8276547885319236,0.85857256309302,0.8936736728806325,0.9516260162601626,100.0,0.8678583800658098,0.043318593922510244,0.7429629932062403,0.8428583932958406,0.8701720807347747,0.9005358068618028,0.9529924598477412,100.0,0.14642793383258415,0.05950912744972208,0.0515297906602254,0.10513243981452072,0.12812484801322888,0.17504743833017078,0.3478260869565217
DESKL,100.0,0.9120997440580441,0.028469934271479223,0.8289742259124719,0.8947201262528685,0.9145886976443073,0.9357635433881616,0.9773000614330336,100.0,0.8573134615312026,0.04822686152464027,0.7146708026211583,0.8350960906187864,0.8606989551123623,0.8945427560388151,0.935356888810202,100.0,0.8749182009140961,0.036343857814700974,0.7441860465116279,0.8596345514950166,0.8827206801700425,0.9016306274370791,0.9247311827956988
DESP,100.0,0.913630753125695,0.02738733382587541,0.8357488340702413,0.9003024603497356,0.9141249830554425,0.9304260078045911,0.9722166942105857,100.0,0.8013444279928913,0.06837935172155928,0.5810627359072815,0.7638561435148578,0.8146979495295523,0.8511849300266263,0.9272834352782624,100.0,0.6702582530405579,0.08186658898366565,0.41,0.6287989869368169,0.6666666666666666,0.7192982456140351,0.8913043478260869
DecisionTreeClassifier,100.0,0.8717052849969038,0.035991069844209966,0.770904687770282,0.8461857810067462,0.8758634557794359,0.8990113961996988,0.9481664071959868,100.0,0.4741692316202126,0.11959245528048422,0.221851214529163,0.39253657164393285,0.447843747391114,0.5360532971939668,0.7446511107929138,100.0,0.6657607732842905,0.09223628036256643,0.4,0.6098010316875461,0.6543755310110451,0.7122252747252747,0.8571428571428571
Exponential,100.0,0.9159067906364604,0.026642748834057723,0.8169131638124891,0.9025269742933038,0.9148366544665854,0.9333752286855758,0.9756733839218504,100.0,0.7595096587478922,0.07412608605709033,0.6163999152314492,0.7026783112718518,0.7666281689285078,0.8227283795802557,0.8942886104291049,100.0,0.8004634053794036,0.044467840232978145,0.6818181818181818,0.7732579861759761,0.7959183673469388,0.8291329132913291,0.9263157894736842
ExtraTreesClassifier,100.0,0.9078870551029269,0.029323587626353547,0.8291774779449922,0.8932104758833663,0.913978982874935,0.9257164348146482,0.9779100654997276,100.0,0.8642994322816171,0.04340917470542766,0.7500446987922328,0.8412771990205643,0.8661987699513792,0.8969517385270172,0.9461089889225318,100.0,0.8798484728315722,0.03645021063775216,0.7654320987654321,0.8604651162790697,0.8863636363636364,0.9010989010989012,0.9565217391304348
KNOP,100.0,0.912863421375917,0.026493094303171,0.8339214668742432,0.8980698346499615,0.9141075427795996,0.9305803065974773,0.9634103096350112,100.0,0.8458769843658005,0.05038872252627372,0.6769344028219476,0.8194760533329251,0.8451099433196811,0.8778736000926339,0.9504617590584904,100.0,0.6110616462569329,0.122606117128496,0.3333333333333333,0.5242450638792102,0.6124217621569572,0.6960510570402871,0.8631578947368421
KNORAE,100.0,0.8988465030355289,0.02880226575016604,0.8173888600588133,0.8825386283149516,0.9003591525125534,0.916617207486466,0.9683575505967824,100.0,0.6030432916237188,0.11017424414200308,0.3452569227213806,0.525227688031745,0.6051694643177032,0.6876658815530645,0.8256419454599002,100.0,0.5092839986184139,0.0770560592333058,0.3392857142857143,0.451699813853238,0.5064113102087786,0.569368410381184,0.7090909090909091
